Key,Key,EN,DE,
activemodel.attributes.result.decidim_accountability_status_id,activemodel.attributes.result.decidim_accountability_status_id,Status,Status,
activemodel.attributes.result.decidim_category_id,activemodel.attributes.result.decidim_category_id,Category,Kategorie,
activemodel.attributes.result.decidim_scope_id,activemodel.attributes.result.decidim_scope_id,Scope,Reichweite,
activemodel.attributes.result.description,activemodel.attributes.result.description,Description,Beschreibung,
activemodel.attributes.result.end_date,activemodel.attributes.result.end_date,End date,Enddatum,
activemodel.attributes.result.progress,activemodel.attributes.result.progress,Progress,Fortschritt,
activemodel.attributes.result.project_ids,activemodel.attributes.result.project_ids,Included projects,Enthaltene Projekte,
activemodel.attributes.result.proposals,activemodel.attributes.result.proposals,Included proposals,Enthaltene Vorschläge,
activemodel.attributes.result.start_date,activemodel.attributes.result.start_date,Start date,Anfangsdatum,
activemodel.attributes.result.title,activemodel.attributes.result.title,Title,Titel,
activemodel.attributes.result.updated_at,activemodel.attributes.result.updated_at,Updated at,Aktualisiert am,
activemodel.attributes.status.description,activemodel.attributes.status.description,Description,Beschreibung,
activemodel.attributes.status.key,activemodel.attributes.status.key,Key,Schlüsselwort,
activemodel.attributes.status.name,activemodel.attributes.status.name,Name,Name,
activemodel.attributes.status.progress,activemodel.attributes.status.progress,Progress,Fortschritt,
activemodel.attributes.timeline_entry.description,activemodel.attributes.timeline_entry.description,Description,Beschreibung,
activemodel.attributes.timeline_entry.entry_date,activemodel.attributes.timeline_entry.entry_date,Date,Datum,
activemodel.models.decidim/accountability/proposal_linked_event,activemodel.models.decidim/accountability/proposal_linked_event,Proposal included in a result,In einem Ergebnis enthaltener Vorschlag,
activemodel.models.decidim/accountability/result_progress_updated_event,activemodel.models.decidim/accountability/result_progress_updated_event,Result progress updated,Ergebnisfortschritt aktualisiert,
activerecord.models.decidim/accountability/result.one,activerecord.models.decidim/accountability/result.one,Result,Ergebnis,
activerecord.models.decidim/accountability/result.other,activerecord.models.decidim/accountability/result.other,Results,Ergebnisse,
decidim.accountability.actions.confirm_destroy,decidim.accountability.actions.confirm_destroy,Are you sure you want to delete this %{name}?,"Sind Sie sicher, dass Sie %{name} löschen möchten?",
