Key,Key,EN,DE,
activemodel.attributes.area.area_type,activemodel.attributes.area.area_type,Area type,Gebietstyp,
activemodel.attributes.area.name,activemodel.attributes.area.name,Name,Name,
activemodel.attributes.area.organization,activemodel.attributes.area.organization,Organization,Organisation,
activemodel.attributes.area_type.name,activemodel.attributes.area_type.name,Name,Name,
activemodel.attributes.area_type.organization,activemodel.attributes.area_type.organization,Organization,Organisation,
activemodel.attributes.area_type.plural,activemodel.attributes.area_type.plural,Plural,Plural,
activemodel.attributes.attachment.attachment_collection_id,activemodel.attributes.attachment.attachment_collection_id,Folder,Ordner,
activemodel.attributes.attachment.description,activemodel.attributes.attachment.description,Description,Beschreibung,
activemodel.attributes.attachment.file,activemodel.attributes.attachment.file,File,Datei,
activemodel.attributes.attachment.title,activemodel.attributes.attachment.title,Attachment or image name,Name der Anlage oder des Bilds,
activemodel.attributes.attachment_collection.description,activemodel.attributes.attachment_collection.description,Description,Beschreibung,
activemodel.attributes.attachment_collection.name,activemodel.attributes.attachment_collection.name,Name,Name,
activemodel.attributes.category.description,activemodel.attributes.category.description,Description,Beschreibung,
activemodel.attributes.category.name,activemodel.attributes.category.name,Name,Name,
activemodel.attributes.category.parent_id,activemodel.attributes.category.parent_id,Parent,Übergeordneter Ordner,
activemodel.attributes.component.name,activemodel.attributes.component.name,Name,Name,
activemodel.attributes.component.published_at,activemodel.attributes.component.published_at,Published at,Veröffentlicht unter,
activemodel.attributes.component.weight,activemodel.attributes.component.weight,Weight,Gewicht,
activemodel.attributes.id,activemodel.attributes.id,ID,ID,
activemodel.attributes.newsletter.body,activemodel.attributes.newsletter.body,Body,Textkörper,
activemodel.attributes.newsletter.subject,activemodel.attributes.newsletter.subject,Subject,Betreff,
activemodel.attributes.organization.address,activemodel.attributes.organization.address,SMTP hostname,SMTP-Hostname,
activemodel.attributes.organization.alert_color,activemodel.attributes.organization.alert_color,Alert,Warnhinweis,
activemodel.attributes.organization.badges_enabled,activemodel.attributes.organization.badges_enabled,Enable badges,Abzeichen aktivieren,
activemodel.attributes.organization.comments_max_length,activemodel.attributes.organization.comments_max_length,Comments max length (Leave 0 for default value),Maximale Länge des Kommentars (0 als Standardwert unverändert lassen),
activemodel.attributes.organization.cta_button_path,activemodel.attributes.organization.cta_button_path,Call To Action button path,Pfad der Schaltfläche Handlungsaufforderung,
activemodel.attributes.organization.cta_button_text,activemodel.attributes.organization.cta_button_text,Call To Action button text,Text der Schaltfläche Handlungsaufforderung,
activemodel.attributes.organization.customize_welcome_notification,activemodel.attributes.organization.customize_welcome_notification,Customize welcome notification,Anpassen der Begrüßungsnachricht,
activemodel.attributes.organization.default_locale,activemodel.attributes.organization.default_locale,Default locale,Standardumgebung,
activemodel.attributes.organization.description,activemodel.attributes.organization.description,Description,Beschreibung,
activemodel.attributes.organization.enable_omnipresent_banner,activemodel.attributes.organization.enable_omnipresent_banner,Show omnipresent banner,Allgegenwärtiges Banner anzeigen,
activemodel.attributes.organization.facebook_handler,activemodel.attributes.organization.facebook_handler,Facebook handler,Facebook-Handler,
activemodel.attributes.organization.favicon,activemodel.attributes.organization.favicon,Icon,Symbol,
activemodel.attributes.organization.from,activemodel.attributes.organization.from,From email address,Von der E-Mail-Adresse,
activemodel.attributes.organization.github_handler,activemodel.attributes.organization.github_handler,GitHub handler,GitHub-Handler,
activemodel.attributes.organization.header_snippets,activemodel.attributes.organization.header_snippets,Header snippets,Kopfzeilen-Snippets,
activemodel.attributes.organization.highlight_alternative_color,activemodel.attributes.organization.highlight_alternative_color,"Highlight, alternative","Hervorheben, Alternative",
activemodel.attributes.organization.highlight_color,activemodel.attributes.organization.highlight_color,Highlight,Hervorheben,
activemodel.attributes.organization.highlighted_content_banner_action_subtitle,activemodel.attributes.organization.highlighted_content_banner_action_subtitle,Action button subtitle,Untertitel Schaltfläche Handlungsaufforderung,
activemodel.attributes.organization.highlighted_content_banner_action_title,activemodel.attributes.organization.highlighted_content_banner_action_title,Action button title,Titel Schaltfläche Handlungsaufforderung,
activemodel.attributes.organization.highlighted_content_banner_action_url,activemodel.attributes.organization.highlighted_content_banner_action_url,Action button URL,URL Schaltfläche Handlungsaufforderung,
activemodel.attributes.organization.highlighted_content_banner_enabled,activemodel.attributes.organization.highlighted_content_banner_enabled,Show the highlighted content banner,Das hervorgehobene Inhaltsbanner anzeigen,
activemodel.attributes.organization.highlighted_content_banner_image,activemodel.attributes.organization.highlighted_content_banner_image,Image,Bild,
activemodel.attributes.organization.highlighted_content_banner_short_description,activemodel.attributes.organization.highlighted_content_banner_short_description,Short description,Kurzbeschreibung,
activemodel.attributes.organization.highlighted_content_banner_title,activemodel.attributes.organization.highlighted_content_banner_title,Title,Titel,
activemodel.attributes.organization.instagram_handler,activemodel.attributes.organization.instagram_handler,Instagram handler,Instagram-Handler,
activemodel.attributes.organization.logo,activemodel.attributes.organization.logo,Logo,Logo,
activemodel.attributes.organization.machine_translation_display_priority,activemodel.attributes.organization.machine_translation_display_priority,Machine translation display priority,Anzeigepriorität maschinelle Übersetzung,
activemodel.attributes.organization.machine_translation_display_priority_original,activemodel.attributes.organization.machine_translation_display_priority_original,Original text first,Originaltext zuerst,
activemodel.attributes.organization.machine_translation_display_priority_translation,activemodel.attributes.organization.machine_translation_display_priority_translation,Translated text first,Übersetzter Text zuerst,
activemodel.attributes.organization.name,activemodel.attributes.organization.name,Name,Name,
activemodel.attributes.organization.official_img_footer,activemodel.attributes.organization.official_img_footer,Official logo footer,Offizielle Logo-Fußzeile,
activemodel.attributes.organization.official_img_header,activemodel.attributes.organization.official_img_header,Official logo header,Offizielle Logo-Kopfzeile,
activemodel.attributes.organization.official_url,activemodel.attributes.organization.official_url,Official organization URL,Offizielle URL der Organisation,
activemodel.attributes.organization.omnipresent_banner_short_description,activemodel.attributes.organization.omnipresent_banner_short_description,Short description,Kurzbeschreibung,
activemodel.attributes.organization.omnipresent_banner_title,activemodel.attributes.organization.omnipresent_banner_title,Title,Titel,
