Key,Key,EN,DE,
activemodel.attributes.assembly.area_id,activemodel.attributes.assembly.area_id,Area,Gebiet,
activemodel.attributes.assembly.assembly_type,activemodel.attributes.assembly.assembly_type,Assembly type,Versammlungstyp,
activemodel.attributes.assembly.assembly_type_other,activemodel.attributes.assembly.assembly_type_other,Assembly type other,Sonstiger Versammlungstyp,
activemodel.attributes.assembly.banner_image,activemodel.attributes.assembly.banner_image,Banner image,Banner-Bild,
activemodel.attributes.assembly.closing_date,activemodel.attributes.assembly.closing_date,Closing date,Ende der Frist,
activemodel.attributes.assembly.closing_date_reason,activemodel.attributes.assembly.closing_date_reason,Closing date reason,Grund Ende der Frist,
activemodel.attributes.assembly.composition,activemodel.attributes.assembly.composition,Composition,Zusammensetzung,
activemodel.attributes.assembly.copy_categories,activemodel.attributes.assembly.copy_categories,Copy categories,Kategorien kopieren,
activemodel.attributes.assembly.copy_components,activemodel.attributes.assembly.copy_components,Copy components,Komponenten kopieren,
activemodel.attributes.assembly.copy_features,activemodel.attributes.assembly.copy_features,Copy features,Merkmale kopieren,
activemodel.attributes.assembly.created_by,activemodel.attributes.assembly.created_by,Created by,Erstellt von,
activemodel.attributes.assembly.created_by_other,activemodel.attributes.assembly.created_by_other,Created by other,Erstellt von anderen,
activemodel.attributes.assembly.creation_date,activemodel.attributes.assembly.creation_date,Date created,Erstellungsdatum,
activemodel.attributes.assembly.decidim_area_id,activemodel.attributes.assembly.decidim_area_id,Area,Gebiet,
activemodel.attributes.assembly.decidim_assemblies_type_id,activemodel.attributes.assembly.decidim_assemblies_type_id,Assembly type,Versammlungstyp,
activemodel.attributes.assembly.decidim_scope_id,activemodel.attributes.assembly.decidim_scope_id,Scope,Reichweite,
activemodel.attributes.assembly.description,activemodel.attributes.assembly.description,Description,Beschreibung,
activemodel.attributes.assembly.developer_group,activemodel.attributes.assembly.developer_group,Promoter group,Gruppe der Unterstützer,
activemodel.attributes.assembly.domain,activemodel.attributes.assembly.domain,Domain,Domain,
activemodel.attributes.assembly.duration,activemodel.attributes.assembly.duration,Duration,Dauer,
activemodel.attributes.assembly.facebook,activemodel.attributes.assembly.facebook,Facebook,Facebook,
activemodel.attributes.assembly.github,activemodel.attributes.assembly.github,GitHub,GitHub,
activemodel.attributes.assembly.hashtag,activemodel.attributes.assembly.hashtag,Hashtag,Hashtag,
activemodel.attributes.assembly.hero_image,activemodel.attributes.assembly.hero_image,Home image,Bildstartseite,
activemodel.attributes.assembly.included_at,activemodel.attributes.assembly.included_at,Included at,Aufgenommen am,
activemodel.attributes.assembly.instagram,activemodel.attributes.assembly.instagram,Instagram,Instagram,
activemodel.attributes.assembly.internal_organisation,activemodel.attributes.assembly.internal_organisation,Internal organisation,Interne Organisation,
activemodel.attributes.assembly.is_transparent,activemodel.attributes.assembly.is_transparent,Is transparent,Ist transparent,
activemodel.attributes.assembly.local_area,activemodel.attributes.assembly.local_area,Organization area,Gebiet der Organisation,
activemodel.attributes.assembly.meta_scope,activemodel.attributes.assembly.meta_scope,Scope metadata,Reichweiten-Metadaten,
activemodel.attributes.assembly.parent_id,activemodel.attributes.assembly.parent_id,Parent assembly,Übergeordnete Versammlung,
activemodel.attributes.assembly.participatory_processes_ids,activemodel.attributes.assembly.participatory_processes_ids,Related participatory processes,Verbundene Beteiligungsprozesse,
activemodel.attributes.assembly.participatory_scope,activemodel.attributes.assembly.participatory_scope,What is decided,Was wird entschieden,
activemodel.attributes.assembly.participatory_structure,activemodel.attributes.assembly.participatory_structure,How is it decided,Wie wird entschieden,
activemodel.attributes.assembly.private_space,activemodel.attributes.assembly.private_space,Private space,Privater Bereich,
activemodel.attributes.assembly.promoted,activemodel.attributes.assembly.promoted,Highlighted,Hervorgehoben,
activemodel.attributes.assembly.published_at,activemodel.attributes.assembly.published_at,Published at,Veröffentlicht unter,
activemodel.attributes.assembly.purpose_of_action,activemodel.attributes.assembly.purpose_of_action,Purpose of action,Zweck der Aktion,
activemodel.attributes.assembly.scope_id,activemodel.attributes.assembly.scope_id,Scope,Reichweite,
activemodel.attributes.assembly.scopes_enabled,activemodel.attributes.assembly.scopes_enabled,Scopes enabled,Reichweite aktiviert,
activemodel.attributes.assembly.short_description,activemodel.attributes.assembly.short_description,Short description,Kurzbeschreibung,
activemodel.attributes.assembly.show_statistics,activemodel.attributes.assembly.show_statistics,Show statistics,Statistiken einblenden,
activemodel.attributes.assembly.slug,activemodel.attributes.assembly.slug,URL slug,URL-Slug,
activemodel.attributes.assembly.special_features,activemodel.attributes.assembly.special_features,Special features,Besondere Merkmale,
activemodel.attributes.assembly.subtitle,activemodel.attributes.assembly.subtitle,Subtitle,Untertitel,
activemodel.attributes.assembly.target,activemodel.attributes.assembly.target,Who participates,Wer nimmt teil,
activemodel.attributes.assembly.title,activemodel.attributes.assembly.title,Title,Titel,
activemodel.attributes.assembly.twitter,activemodel.attributes.assembly.twitter,Twitter,Twitter,
activemodel.attributes.assembly.youtube,activemodel.attributes.assembly.youtube,YouTube,YouTube,
activemodel.attributes.assembly_member.birthday,activemodel.attributes.assembly_member.birthday,Birthday,Geburtstag,
activemodel.attributes.assembly_member.birthplace,activemodel.attributes.assembly_member.birthplace,Birthplace,Geburtsort,
activemodel.attributes.assembly_member.ceased_date,activemodel.attributes.assembly_member.ceased_date,Ceased date,Datum der Einstellung,
activemodel.attributes.assembly_member.designation_date,activemodel.attributes.assembly_member.designation_date,Designation date,Datum der Benennung,
