Key,Key,EN,DE,
activemodel.models.decidim/blogs/create_post_event,activemodel.models.decidim/blogs/create_post_event,New blog post,Neuer Blog-Post,
activerecord.models.decidim/blogs/post.one,activerecord.models.decidim/blogs/post.one,Post,Post,
activerecord.models.decidim/blogs/post.other,activerecord.models.decidim/blogs/post.other,Posts,Posts,
decidim.blogs.actions.confirm_destroy,decidim.blogs.actions.confirm_destroy,Are you sure you want to delete this post?,"Sind Sie sicher, dass Sie diesen Post löschen möchten?",
decidim.blogs.actions.destroy,decidim.blogs.actions.destroy,Delete,Löschen,
decidim.blogs.actions.edit,decidim.blogs.actions.edit,Edit,Bearbeiten,
decidim.blogs.actions.new,decidim.blogs.actions.new,New post,Neuer Post,
decidim.blogs.actions.title,decidim.blogs.actions.title,Actions,Aktionen,
decidim.blogs.admin.models.components.body,decidim.blogs.admin.models.components.body,Body,Textkörper,
decidim.blogs.admin.models.post.name,decidim.blogs.admin.models.post.name,Post,Post,
decidim.blogs.admin.posts.create.invalid,decidim.blogs.admin.posts.create.invalid,There was a problem creating this post,Bei Erstellen dieses Posts ist ein Problem aufgetreten,
decidim.blogs.admin.posts.create.success,decidim.blogs.admin.posts.create.success,Post successfully created,Post erfolgreich erstellt,
decidim.blogs.admin.posts.destroy.success,decidim.blogs.admin.posts.destroy.success,Post successfully deleted,Post erfolgreich gelöscht,
decidim.blogs.admin.posts.edit.save,decidim.blogs.admin.posts.edit.save,Update,Aktualisieren,
decidim.blogs.admin.posts.index.title,decidim.blogs.admin.posts.index.title,Posts,Posts,
decidim.blogs.admin.posts.new.create,decidim.blogs.admin.posts.new.create,Create,Erstellen,
decidim.blogs.admin.posts.new.title,decidim.blogs.admin.posts.new.title,Create post,Post erstellen,
decidim.blogs.admin.posts.update.invalid,decidim.blogs.admin.posts.update.invalid,There was a problem saving the post.,Beim Speichern des Posts ist ein Problem aufgetreten.,
decidim.blogs.admin.posts.update.success,decidim.blogs.admin.posts.update.success,Post successfully saved,Post erfolgreich gespeichert,
decidim.blogs.last_activity.new_post_at_html,decidim.blogs.last_activity.new_post_at_html,<span>New post at %{link}</span>,<span>Neuer Post unter %{link}</span>,
decidim.blogs.models.post.fields.author,decidim.blogs.models.post.fields.author,Author,Autor,
decidim.blogs.models.post.fields.body,decidim.blogs.models.post.fields.body,Body,Textkörper,
decidim.blogs.models.post.fields.created_at,decidim.blogs.models.post.fields.created_at,Created at,Erstellt am,
decidim.blogs.models.post.fields.title,decidim.blogs.models.post.fields.title,title,Titel,
decidim.blogs.posts.show.back,decidim.blogs.posts.show.back,Back to list,Zurück zur Liste,
decidim.blogs.posts.show.comments,decidim.blogs.posts.show.comments,Comments,Kommentare,
decidim.blogs.posts.show.view,decidim.blogs.posts.show.view,View,Anzeigen,
decidim.blogs.posts.sidebar_blog.comments,decidim.blogs.posts.sidebar_blog.comments,comments,Kommentare,
decidim.blogs.posts.sidebar_blog.most_commented_posts,decidim.blogs.posts.sidebar_blog.most_commented_posts,Most commented posts,Meistkommentierte Posts,
decidim.blogs.read_more,decidim.blogs.read_more,Read more,Mehr lesen,
decidim.components.blogs.name,decidim.components.blogs.name,Blog,Blog,
decidim.components.blogs.settings.global.announcement,decidim.components.blogs.settings.global.announcement,Announcement,Bekanntmachung,
decidim.components.blogs.settings.global.comments_enabled,decidim.components.blogs.settings.global.comments_enabled,Comments enabled,Kommentare aktiviert,
decidim.components.blogs.settings.global.comments_max_length,decidim.components.blogs.settings.global.comments_max_length,Comments max length (Leave 0 for default value),Maximale Länge des Kommentars (0 als Standardwert unverändert lassen),
decidim.components.blogs.settings.step.announcement,decidim.components.blogs.settings.step.announcement,Announcement,Bekanntmachung,
decidim.components.blogs.settings.step.comments_blocked,decidim.components.blogs.settings.step.comments_blocked,Comments blocked,Kommentare deaktiviert,
decidim.components.blogs.settings.step.endorsements_blocked,decidim.components.blogs.settings.step.endorsements_blocked,Endorsements blocked,Genehmigungen deaktiviert,
decidim.components.blogs.settings.step.endorsements_enabled,decidim.components.blogs.settings.step.endorsements_enabled,Endorsements enabled,Genehmigungen aktiviert,
decidim.events.blogs.post_created.email_intro,decidim.events.blogs.post_created.email_intro,"The post ""%{resource_title}"" has been published in ""%{participatory_space_title}"" that you are following.","Der Post ""%{resource_title}"" wurde in ""%{participatory_space_title}"" veröffentlicht, dem Sie folgen.",
decidim.events.blogs.post_created.email_outro,decidim.events.blogs.post_created.email_outro,"You have received this notification because you are following ""%{participatory_space_title}"". You can unfollow it from the previous link.","Sie haben diese Benachrichtigung erhalten, weil Sie ""%{participatory_space_title}"" folgen. Sie können sich über den vorstehenden Link abmelden.",
decidim.events.blogs.post_created.email_subject,decidim.events.blogs.post_created.email_subject,New post published in %{participatory_space_title},Neuer Post veröffentlicht in %{participatory_space_title},
decidim.events.blogs.post_created.notification_title,decidim.events.blogs.post_created.notification_title,"The post <a href=""%{resource_path}"">%{resource_title}</a> has been published in %{participatory_space_title}","Der Post <a href=""%{resource_path}"">%{resource_title}</a> wurde in %{participatory_space_title} veröffentlicht",
decidim.pages.home.statistics.posts_count,decidim.pages.home.statistics.posts_count,Posts,Posts,
decidim.participatory_processes.statistics.posts_count,decidim.participatory_processes.statistics.posts_count,Posts,Posts,
