Key,Key,EN,DE,
activemodel.models.decidim/comments/comment_by_followed_user_event,activemodel.models.decidim/comments/comment_by_followed_user_event,Comment,Kommentar,
activemodel.models.decidim/comments/comment_created_event,activemodel.models.decidim/comments/comment_created_event,Comment,Kommentar,
activemodel.models.decidim/comments/reply_created_event,activemodel.models.decidim/comments/reply_created_event,Comment reply,Antwort kommentieren,
activemodel.models.decidim/comments/user_group_mentioned_event,activemodel.models.decidim/comments/user_group_mentioned_event,Mention,Erwähnung,
activemodel.models.decidim/comments/user_mentioned_event,activemodel.models.decidim/comments/user_mentioned_event,Mention,Erwähnung,
activerecord.models.decidim/comments/comment.one,activerecord.models.decidim/comments/comment.one,Comment,Kommentar,
activerecord.models.decidim/comments/comment.other,activerecord.models.decidim/comments/comment.other,Comments,Kommentare,
activerecord.models.decidim/comments/comment_vote.one,activerecord.models.decidim/comments/comment_vote.one,Vote,Abstimmen,
activerecord.models.decidim/comments/comment_vote.other,activerecord.models.decidim/comments/comment_vote.other,Votes,Stimmen,
decidim.comments.comments,decidim.comments.comments,Comments,Kommentare,
decidim.comments.comments_count,decidim.comments.comments_count,Comments count,Zählung Kommentare,
decidim.comments.last_activity.new_comment_at_html,decidim.comments.last_activity.new_comment_at_html,<span>New comment at %{link}</span>,<span>Neuer Kommentar unter %{link}</span>,
decidim.comments.view,decidim.comments.view,View,Anzeigen,
decidim.comments.votes.create.error,decidim.comments.votes.create.error,There was a problem voting the comment.,Bei der Abstimmung zum Kommentar ist ein Problem aufgetreten.,
decidim.components.add_comment_form.account_message,decidim.components.add_comment_form.account_message,"<a href=""%{sign_in_url}"">Sign in with your account</a> or <a href=""%{sign_up_url}"">sign up</a> to add your comment.","<a href=""%{sign_in_url}"">Loggen Sie sich in Ihr Konto ein</a> oder <a href=""%{sign_up_url}"">Melden</a> Sie sich an, um Ihren Kommentar hinzufügen.",
decidim.components.add_comment_form.form.body.label,decidim.components.add_comment_form.form.body.label,Comment,Kommentar,
decidim.components.add_comment_form.form.body.placeholder,decidim.components.add_comment_form.form.body.placeholder,What do you think about this?,Was halten Sie davon?,
decidim.components.add_comment_form.form.form_error,decidim.components.add_comment_form.form.form_error,The text is required and it can't be longer than %{length} characters.,Der Text ist erforderlich und darf nicht länger als %{length} Zeichen lang sein.,
decidim.components.add_comment_form.form.submit,decidim.components.add_comment_form.form.submit,Send,Absenden,
decidim.components.add_comment_form.form.user_group_id.label,decidim.components.add_comment_form.form.user_group_id.label,Comment as,Kommentieren als,
decidim.components.add_comment_form.opinion.neutral,decidim.components.add_comment_form.opinion.neutral,Neutral,Weder positiv noch negativ,
decidim.components.add_comment_form.remaining_characters,decidim.components.add_comment_form.remaining_characters,%{count} characters left,%{count} Zeichen übrig,
decidim.components.add_comment_form.remaining_characters_1,decidim.components.add_comment_form.remaining_characters_1,%{count} character left,%{count} Zeichen übrig,
decidim.components.add_comment_form.title,decidim.components.add_comment_form.title,Add your comment,Ihren Kommentar hinzufügen,
decidim.components.comment.alignment.against,decidim.components.comment.alignment.against,Against,Dagegen,
decidim.components.comment.alignment.in_favor,decidim.components.comment.alignment.in_favor,In favor,Dafür,
decidim.components.comment.deleted_user,decidim.components.comment.deleted_user,Deleted participant,Teilnehmer gelöscht,
decidim.components.comment.hide_replies,decidim.components.comment.hide_replies,Hide replies,Antworten ausblenden,
decidim.components.comment.reply,decidim.components.comment.reply,Reply,Antwort,
decidim.components.comment.report.action,decidim.components.comment.report.action,Report,Meldung,
decidim.components.comment.report.already_reported,decidim.components.comment.report.already_reported,This content is already reported and it will be reviewed by an admin.,Dieser Inhalt wurde bereits gemeldet und wird von einem Administrator überprüft.,
decidim.components.comment.report.close,decidim.components.comment.report.close,Close,Schließen,
decidim.components.comment.report.description,decidim.components.comment.report.description,Is this content inappropriate?,Ist dieser Inhalt unangemessen?,
decidim.components.comment.report.details,decidim.components.comment.report.details,Additional comments,Zusätzliche Kommentare,
decidim.components.comment.report.reasons.does_not_belong,decidim.components.comment.report.reasons.does_not_belong,"Contains illegal activity, suicide threats, personal information, or something else you think doesn't belong on %{organization_name}.","Enthält illegale Aktivitäten, Selbstmorddrohungen, persönliche Informationen oder etwas anderes, das Ihrer Meinung nach nicht auf %{organization_name} gehört.",
decidim.components.comment.report.reasons.offensive,decidim.components.comment.report.reasons.offensive,"Contains racism, sexism, slurs, personal attacks, death threats, suicide requests or any form of hate speech.","Enthält Rassismus, Sexismus, Verunglimpfungen, persönliche Angriffe, Todesdrohungen, Selbstmorddrohungen oder jegliche Form von Hetze.",
decidim.components.comment.report.reasons.spam,decidim.components.comment.report.reasons.spam,"Contains clickbait, advertising, scams or script bots.","Enthält Klickköder, Werbung, Betrug oder Script-Bots.",
decidim.components.comment.report.title,decidim.components.comment.report.title,Report inappropriate content,Unangemessenen Inhalt melden,
decidim.components.comment.show_replies,decidim.components.comment.show_replies,Show %{replies_count} replies,%{replies_count} Antworten anzeigen,
decidim.components.comment.single_comment_link_title,decidim.components.comment.single_comment_link_title,Get link to single comment,Link zu einem einzelnen Kommentar erhalten,
decidim.components.comment_order_selector.order.best_rated,decidim.components.comment_order_selector.order.best_rated,Best rated,Am besten bewertet,
decidim.components.comment_order_selector.order.most_discussed,decidim.components.comment_order_selector.order.most_discussed,Most discussed,Am häufigsten diskutiert,
decidim.components.comment_order_selector.order.older,decidim.components.comment_order_selector.order.older,Older,Ältere,
decidim.components.comment_order_selector.order.recent,decidim.components.comment_order_selector.order.recent,Recent,Jüngere,
decidim.components.comment_order_selector.title,decidim.components.comment_order_selector.title,Order by:,Ordnen nach:,
decidim.components.comment_thread.title,decidim.components.comment_thread.title,Conversation with %{authorName},Unterhaltung mit %{authorName},
decidim.components.comments.blocked_comments_for_user_warning,decidim.components.comments.blocked_comments_for_user_warning,"You are not able to comment at this moment, but you can read the previous ones.","Sie können momentan keine Kommentare abgeben, aber Sie können die vorherigen lesen.",
decidim.components.comments.blocked_comments_warning,decidim.components.comments.blocked_comments_warning,"Comments are disabled at this time, but you can read the previous ones.","Kommentare sind zurzeit deaktiviert, aber Sie können die vorherigen lesen.",
decidim.components.comments.comment_details_title,decidim.components.comments.comment_details_title,Comment details,Details Kommentar,
decidim.components.comments.loading,decidim.components.comments.loading,Loading comments ...,Kommentare laden ...,
decidim.components.comments.single_comment_warning,decidim.components.comments.single_comment_warning,"You can check the rest of the comments <a href=""%{url}"">here</a>.","Den Rest der Kommentare <a href=""%{url}"" können Sie>hier</a> überprüfen.",
decidim.components.comments.single_comment_warning_title,decidim.components.comments.single_comment_warning_title,You are seeing a single comment,Sie sehen einen einzelnen Kommentar,
decidim.components.comments.title,decidim.components.comments.title,%{count} comments,%{count} Kommentare,
decidim.components.down_vote_button.text,decidim.components.down_vote_button.text,I disagree with this comment,Ich kann diesem Kommentar nicht zustimmen,
decidim.components.up_vote_button.text,decidim.components.up_vote_button.text,I agree with this comment,Ich kann diesem Kommentar zustimmen,
decidim.events.comments.comment_by_followed_user.email_intro,decidim.events.comments.comment_by_followed_user.email_intro,%{author_name} has left a comment in %{resource_title}. You can read it in this page:,%{author_name} hat einen Kommentar in %{resource_title} hinterlassen. Sie können ihn auf dieser Seite lesen:,
