Key,Key,EN,DE,
activemodel.attributes.conference.assemblies_ids,activemodel.attributes.conference.assemblies_ids,Related Assemblies,Verbundene Versammlungen,
activemodel.attributes.conference.banner_image,activemodel.attributes.conference.banner_image,Banner image,Banner-Bild,
activemodel.attributes.conference.consultations_ids,activemodel.attributes.conference.consultations_ids,Related Consultations,Verbundene Konsultationen,
activemodel.attributes.conference.copy_categories,activemodel.attributes.conference.copy_categories,Copy categories,Kategorien kopieren,
activemodel.attributes.conference.copy_components,activemodel.attributes.conference.copy_components,Copy components,Komponenten kopieren,
activemodel.attributes.conference.copy_features,activemodel.attributes.conference.copy_features,Copy features,Merkmale kopieren,
activemodel.attributes.conference.decidim_scope_id,activemodel.attributes.conference.decidim_scope_id,Scope,Reichweite,
activemodel.attributes.conference.description,activemodel.attributes.conference.description,Description,Beschreibung,
activemodel.attributes.conference.hashtag,activemodel.attributes.conference.hashtag,Hashtag,Hashtag,
activemodel.attributes.conference.hero_image,activemodel.attributes.conference.hero_image,Home image,Bildstartseite,
activemodel.attributes.conference.participatory_processes_ids,activemodel.attributes.conference.participatory_processes_ids,Related participatory processes,Verbundene Beteiligungsprozesse,
activemodel.attributes.conference.promoted,activemodel.attributes.conference.promoted,Highlighted,Hervorgehoben,
activemodel.attributes.conference.published_at,activemodel.attributes.conference.published_at,Published at,Veröffentlicht unter,
activemodel.attributes.conference.scope_id,activemodel.attributes.conference.scope_id,Scope,Reichweite,
activemodel.attributes.conference.scopes_enabled,activemodel.attributes.conference.scopes_enabled,Scopes enabled,Reichweiten aktiviert,
activemodel.attributes.conference.short_description,activemodel.attributes.conference.short_description,Short description,Kurzbeschreibung,
activemodel.attributes.conference.show_statistics,activemodel.attributes.conference.show_statistics,Show statistics,Statistiken einblenden,
activemodel.attributes.conference.slogan,activemodel.attributes.conference.slogan,Slogan,Slogan,
activemodel.attributes.conference.slug,activemodel.attributes.conference.slug,URL slug,URL-Slug,
activemodel.attributes.conference.title,activemodel.attributes.conference.title,Title,Titel,
activemodel.attributes.conference_speaker.full_name,activemodel.attributes.conference_speaker.full_name,Full name,Vollständiger Name,
activemodel.attributes.conference_user_role.email,activemodel.attributes.conference_user_role.email,Email,E-Mail,
activemodel.attributes.conference_user_role.name,activemodel.attributes.conference_user_role.name,Name,Name,
activemodel.attributes.conference_user_role.role,activemodel.attributes.conference_user_role.role,Role,Rolle,
activemodel.errors.models.conference_registration_invite.attributes.email.already_invited,activemodel.errors.models.conference_registration_invite.attributes.email.already_invited,This email has already been invited,Diese E-Mail wurde bereits eingeladen.,
activerecord.models.decidim/conference.one,activerecord.models.decidim/conference.one,Conference,Konferenz,
