Key,Key,EN,DE,
activemodel.attributes.consultation.banner_image,activemodel.attributes.consultation.banner_image,Banner image,Banner-Bild,
activemodel.attributes.consultation.decidim_highlighted_scope_id,activemodel.attributes.consultation.decidim_highlighted_scope_id,Highlighted scope,Hervorgehobene Reichweite,
activemodel.attributes.consultation.description,activemodel.attributes.consultation.description,Description,Beschreibung,
activemodel.attributes.consultation.end_voting_date,activemodel.attributes.consultation.end_voting_date,Voting ends,Abstimmung endet,
activemodel.attributes.consultation.introductory_image,activemodel.attributes.consultation.introductory_image,Introductory image,Einleitendes Bild,
activemodel.attributes.consultation.introductory_video_url,activemodel.attributes.consultation.introductory_video_url,Introductory video URL,Einleitende Video-URL,
activemodel.attributes.consultation.questions,activemodel.attributes.consultation.questions,Questions,Fragen,
activemodel.attributes.consultation.slug,activemodel.attributes.consultation.slug,URL slug,URL-Slug,
activemodel.attributes.consultation.start_voting_date,activemodel.attributes.consultation.start_voting_date,Voting begins,Abstimmung beginnt,
activemodel.attributes.consultation.subtitle,activemodel.attributes.consultation.subtitle,Subtitle,Untertitel,
activemodel.attributes.consultation.title,activemodel.attributes.consultation.title,Title,Titel,
activemodel.attributes.question.banner_image,activemodel.attributes.question.banner_image,Banner image,Banner-Bild,
activemodel.attributes.question.decidim_scope_id,activemodel.attributes.question.decidim_scope_id,Municipal area,Gemeindegebiet,
activemodel.attributes.question.hashtag,activemodel.attributes.question.hashtag,Hashtag,Hashtag,
activemodel.attributes.question.hero_image,activemodel.attributes.question.hero_image,Home image,Bildstartseite,
activemodel.attributes.question.i_frame_url,activemodel.attributes.question.i_frame_url,External voting system URL,Externes Abstimmungssystem URL,
activemodel.attributes.question.instructions,activemodel.attributes.question.instructions,Additional instructions for voting,Zusätzliche Anweisungen für die Abstimmung,
activemodel.attributes.question.max_votes,activemodel.attributes.question.max_votes,Maximum number of votes,Maximale Anzahl von Stimmen,
activemodel.attributes.question.min_votes,activemodel.attributes.question.min_votes,Minimum number of votes,Mindestanzahl von Stimmen,
activemodel.attributes.question.origin_scope,activemodel.attributes.question.origin_scope,Scope,Reichweite,
activemodel.attributes.question.origin_title,activemodel.attributes.question.origin_title,Origin,Ursprung,
activemodel.attributes.question.origin_url,activemodel.attributes.question.origin_url,Origin URL,Ursprungs-URL,
activemodel.attributes.question.participatory_scope,activemodel.attributes.question.participatory_scope,Participatory scope,Partizipatorische Reichweite,
activemodel.attributes.question.promoter_group,activemodel.attributes.question.promoter_group,Promoter group,Gruppe der Unterstützer,
activemodel.attributes.question.question_context,activemodel.attributes.question.question_context,Context,Hintergrund,
activemodel.attributes.question.reference,activemodel.attributes.question.reference,Reference,Quelle,
activemodel.attributes.question.scope,activemodel.attributes.question.scope,Municipal area,Gemeindegebiet,
activemodel.attributes.question.slug,activemodel.attributes.question.slug,URL slug,URL-Slug,
activemodel.attributes.question.subtitle,activemodel.attributes.question.subtitle,Subtitle,Untertitel,
activemodel.attributes.question.vote,activemodel.attributes.question.vote,External voting system,Externes Abstimmungssystem,
activemodel.attributes.question.what_is_decided,activemodel.attributes.question.what_is_decided,What is decided,Was wird entschieden,
activemodel.attributes.response.decidim_consultations_response_group_id,activemodel.attributes.response.decidim_consultations_response_group_id,Group,Gruppe,
activemodel.errors.models.question.attributes.max_votes.lower_than_min,activemodel.errors.models.question.attributes.max_votes.lower_than_min,Maximum number of votes should be higher or equal than the minimum.,Maximale Anzahl von Stimmen sollte höher oder gleich der Mindestanzahl sein.,
activemodel.errors.vote.decidim_consultations_response_id.not_found,activemodel.errors.vote.decidim_consultations_response_id.not_found,Response not found.,Antwort nicht gefunden.,
activerecord.errors.models.decidim/consultations/vote.attributes.question.invalid_num_votes,activerecord.errors.models.decidim/consultations/vote.attributes.question.invalid_num_votes,Number of votes is invalid,Anzahl der Stimmen ist ungültig,
activerecord.models.decidim/consultation.one,activerecord.models.decidim/consultation.one,Consultation,Konsultation,
activerecord.models.decidim/consultation.other,activerecord.models.decidim/consultation.other,Consultations,Konsultationen,
activerecord.models.decidim/consultations/question.one,activerecord.models.decidim/consultations/question.one,Question,Frage,
activerecord.models.decidim/consultations/question.other,activerecord.models.decidim/consultations/question.other,Questions,Fragen,
activerecord.models.decidim/consultations/response.one,activerecord.models.decidim/consultations/response.one,Response,Antwort,
activerecord.models.decidim/consultations/response.other,activerecord.models.decidim/consultations/response.other,Responses,Antworten,
activerecord.models.decidim/consultations/vote.one,activerecord.models.decidim/consultations/vote.one,Vote,Abstimmen,
activerecord.models.decidim/consultations/vote.other,activerecord.models.decidim/consultations/vote.other,Votes,Stimmen,
decidim.admin.actions.back_to_responses,decidim.admin.actions.back_to_responses,Back to responses,Zurück zu Antworten,
decidim.admin.actions.new_consultation,decidim.admin.actions.new_consultation,New consultation,Neue Konsultation,
decidim.admin.actions.new_question,decidim.admin.actions.new_question,New question,Neue Frage,
decidim.admin.actions.new_response,decidim.admin.actions.new_response,New response,Neue Antwort,
decidim.admin.actions.new_response_group,decidim.admin.actions.new_response_group,New group,Neue Gruppe,
decidim.admin.actions.publish_results,decidim.admin.actions.publish_results,Publish results,Ergebnisse veröffentlichen,
decidim.admin.actions.response_groups,decidim.admin.actions.response_groups,Manage response groups,Antwort Gruppen verwalten,
decidim.admin.actions.unpublish_results,decidim.admin.actions.unpublish_results,Unpublish results,Veröffentlichung der Ergebnisse rückgängig machen,
decidim.admin.consultation_publications.create.error,decidim.admin.consultation_publications.create.error,There was a problem publishing this consultation.,Beim Veröffentlichen dieser Konsultation ist ein Problem aufgetreten.,
decidim.admin.consultation_publications.create.success,decidim.admin.consultation_publications.create.success,Consultation successfully published.,Konsultation erfolgreich veröffentlicht.,
decidim.admin.consultation_publications.destroy.error,decidim.admin.consultation_publications.destroy.error,There was a problem unpublishing this consultation.,Die Veröffentlichung dieser Konsultation konnte nicht rückgängig gemacht werden.,
decidim.admin.consultation_publications.destroy.success,decidim.admin.consultation_publications.destroy.success,Consultation successfully unpublished.,Veröffentlichung der Konsultation erfolgreich rückgängig gemacht.,
decidim.admin.consultation_results_publications.create.error,decidim.admin.consultation_results_publications.create.error,There was a problem publishing the results for this consultation.,Beim Veröffentlichen der Ergebnisse ist ein Problem aufgetreten.,
decidim.admin.consultation_results_publications.create.success,decidim.admin.consultation_results_publications.create.success,Consultation results successfully published.,Konsultationsergebnisse erfolgreich veröffentlicht.,
decidim.admin.consultation_results_publications.destroy.error,decidim.admin.consultation_results_publications.destroy.error,There was a problem unpublishing the results for this consultation.,Die Veröffentlichung der Ergebnisse konnte nicht rückgängig gemacht werden.,
decidim.admin.consultation_results_publications.destroy.success,decidim.admin.consultation_results_publications.destroy.success,Consultation results successfully unpublished.,Veröffentlichung der Konsultationsergebnisse erfolgreich rückgängig gemacht.,
decidim.admin.consultations.create.error,decidim.admin.consultations.create.error,There was a problem creating a new consultation.,Bei der Erstellung einer neuen Konsultation ist ein Problem aufgetreten.,
