Key,Key,EN,DE,
activemodel.attributes.debate.category_id,activemodel.attributes.debate.category_id,Category,Kategorie,
activemodel.attributes.debate.closed_at,activemodel.attributes.debate.closed_at,Closed at,Geschlossen um,
activemodel.attributes.debate.conclusions,activemodel.attributes.debate.conclusions,Conclusions,Schlussfolgerungen,
activemodel.attributes.debate.decidim_category_id,activemodel.attributes.debate.decidim_category_id,Category,Kategorie,
activemodel.attributes.debate.description,activemodel.attributes.debate.description,Description,Beschreibung,
activemodel.attributes.debate.end_time,activemodel.attributes.debate.end_time,Ends at,Endet um,
activemodel.attributes.debate.information_updates,activemodel.attributes.debate.information_updates,Information updates,Neueste Informationen,
activemodel.attributes.debate.instructions,activemodel.attributes.debate.instructions,Instructions to participate,Anweisungen zur Teilnahme,
activemodel.attributes.debate.start_time,activemodel.attributes.debate.start_time,Starts at,Beginnt um,
activemodel.attributes.debate.title,activemodel.attributes.debate.title,Title,Titel,
activemodel.attributes.debate.user_group_id,activemodel.attributes.debate.user_group_id,Create debate as,Debatte erstellen als,
activemodel.models.decidim/debates/close_debate_event,activemodel.models.decidim/debates/close_debate_event,Debate closed,Debatte beendet,
activemodel.models.decidim/debates/create_debate_event,activemodel.models.decidim/debates/create_debate_event,Debate,Debatte,
activemodel.models.decidim/debates/creation_disabled_event,activemodel.models.decidim/debates/creation_disabled_event,Debates disabled,Debatten deaktiviert,
activemodel.models.decidim/debates/creation_enabled_event,activemodel.models.decidim/debates/creation_enabled_event,Debates enabled,Debatten aktiviert,
activerecord.models.decidim/debates/debate.one,activerecord.models.decidim/debates/debate.one,Debate,Debatte,
activerecord.models.decidim/debates/debate.other,activerecord.models.decidim/debates/debate.other,Debates,Debatten,
decidim.components.debates.actions.create,decidim.components.debates.actions.create,Create,Erstellen,
decidim.components.debates.actions.endorse,decidim.components.debates.actions.endorse,Endorse,Befürworten,
decidim.components.debates.name,decidim.components.debates.name,Debates,Debatten,
decidim.components.debates.settings.global.announcement,decidim.components.debates.settings.global.announcement,Announcement,Bekanntmachung,
decidim.components.debates.settings.global.comments_enabled,decidim.components.debates.settings.global.comments_enabled,Comments enabled,Kommentare aktiviert,
decidim.components.debates.settings.global.comments_max_length,decidim.components.debates.settings.global.comments_max_length,Comments max length (Leave 0 for default value),Maximale Länge des Kommentars (0 als Standardwert unverändert lassen),
decidim.components.debates.settings.step.announcement,decidim.components.debates.settings.step.announcement,Announcement,Bekanntmachung,
decidim.components.debates.settings.step.comments_blocked,decidim.components.debates.settings.step.comments_blocked,Comments blocked,Kommentare deaktiviert,
decidim.components.debates.settings.step.creation_enabled,decidim.components.debates.settings.step.creation_enabled,Debate creation by participants enabled,Debattenerstellung durch Teilnehmer aktiviert,
decidim.components.debates.settings.step.endorsements_blocked,decidim.components.debates.settings.step.endorsements_blocked,Endorsements blocked,Genehmigungen deaktiviert,
decidim.components.debates.settings.step.endorsements_enabled,decidim.components.debates.settings.step.endorsements_enabled,Endorsements enabled,Genehmigungen aktiviert,
decidim.debates.actions.close,decidim.debates.actions.close,Close,Schließen,
decidim.debates.actions.confirm_destroy,decidim.debates.actions.confirm_destroy,Are you sure?,Sind Sie sicher?,
decidim.debates.actions.destroy,decidim.debates.actions.destroy,Delete,Löschen,
decidim.debates.actions.edit,decidim.debates.actions.edit,Edit,Bearbeiten,
decidim.debates.actions.new,decidim.debates.actions.new,New %{name},Neu %{name},
decidim.debates.actions.title,decidim.debates.actions.title,Actions,Aktionen,
decidim.debates.admin.debate_closes.edit.close,decidim.debates.admin.debate_closes.edit.close,Close,Schließen,
decidim.debates.admin.debate_closes.edit.title,decidim.debates.admin.debate_closes.edit.title,Close debate,Debatte schließen,
decidim.debates.admin.debates.create.invalid,decidim.debates.admin.debates.create.invalid,There was a problem creating the debate.,Beim Erstellen der Debatte ist ein Problem aufgetreten.,
