Key,Key,EN,DE,
activemodel.attributes.answer.description,activemodel.attributes.answer.description,Description,Beschreibung,
activemodel.attributes.answer.image,activemodel.attributes.answer.image,Image,Bild,
activemodel.attributes.answer.proposals,activemodel.attributes.answer.proposals,Related proposals,Verbundene Vorschläge,
activemodel.attributes.answer.title,activemodel.attributes.answer.title,Title,Titel,
activemodel.attributes.election.description,activemodel.attributes.election.description,Description,Beschreibung,
activemodel.attributes.election.end_time,activemodel.attributes.election.end_time,Voting ends at,Abstimmung endet um,
activemodel.attributes.election.start_time,activemodel.attributes.election.start_time,Voting start at,Abstimmung beginn um,
activemodel.attributes.election.title,activemodel.attributes.election.title,Title,Titel,
activemodel.attributes.question.description,activemodel.attributes.question.description,Description,Beschreibung,
activemodel.attributes.question.max_selections,activemodel.attributes.question.max_selections,Maximum number of selections,Maximale Anzahl der ausgewählten Objekte,
activemodel.attributes.question.title,activemodel.attributes.question.title,Title,Titel,
activemodel.errors.models.answer.attributes.attachment.needs_to_be_reattached,activemodel.errors.models.answer.attributes.attachment.needs_to_be_reattached,Needs to be reattached,Muss erneut angehängt werden,
activemodel.errors.models.election.attributes.attachment.needs_to_be_reattached,activemodel.errors.models.election.attributes.attachment.needs_to_be_reattached,Needs to be reattached,Muss erneut angehängt werden,
activerecord.models.decidim/elections/answer.one,activerecord.models.decidim/elections/answer.one,Answer,Antwort,
activerecord.models.decidim/elections/answer.other,activerecord.models.decidim/elections/answer.other,Answers,Antworten,
activerecord.models.decidim/elections/election.one,activerecord.models.decidim/elections/election.one,Election,Wahl,
activerecord.models.decidim/elections/election.other,activerecord.models.decidim/elections/election.other,Elections,Wahlen,
activerecord.models.decidim/elections/question.one,activerecord.models.decidim/elections/question.one,Question,Frage,
activerecord.models.decidim/elections/question.other,activerecord.models.decidim/elections/question.other,Questions,Fragen,
decidim.components.elections.actions.vote,decidim.components.elections.actions.vote,Vote,Abstimmen,
decidim.components.elections.name,decidim.components.elections.name,Elections,Wahlen,
decidim.components.elections.settings.global.announcement,decidim.components.elections.settings.global.announcement,Announcement,Bekanntmachung,
decidim.components.elections.settings.step.announcement,decidim.components.elections.settings.step.announcement,Announcement,Bekanntmachung,
decidim.elections.actions.confirm_destroy,decidim.elections.actions.confirm_destroy,Are you sure?,Sind Sie sicher?,
decidim.elections.actions.destroy,decidim.elections.actions.destroy,Destroy,Vernichten,
decidim.elections.actions.edit,decidim.elections.actions.edit,Edit,Bearbeiten,
decidim.elections.actions.edit_answers,decidim.elections.actions.edit_answers,Edit answers,Antworten bearbeiten,
decidim.elections.actions.edit_questions,decidim.elections.actions.edit_questions,Edit questions,Fragen bearbeiten,
decidim.elections.actions.import,decidim.elections.actions.import,Import proposals to answers,Vorschläge in Antworten importieren,
decidim.elections.actions.new,decidim.elections.actions.new,New %{name},Neu %{name},
decidim.elections.actions.preview,decidim.elections.actions.preview,Preview,Vorschau,
decidim.elections.actions.publish,decidim.elections.actions.publish,Publish,Veröffentlichen,
decidim.elections.actions.title,decidim.elections.actions.title,Actions,Aktionen,
decidim.elections.actions.unpublish,decidim.elections.actions.unpublish,Unpublish,Veröffentlichung rückgängig machen,
decidim.elections.admin.answers.create.invalid,decidim.elections.admin.answers.create.invalid,There was a problem creating this answer,Beim Erstellen dieser Antwort ist ein Problem aufgetreten,
decidim.elections.admin.answers.create.success,decidim.elections.admin.answers.create.success,Answer successfully created,Antwort erfolgreich erstellt,
decidim.elections.admin.answers.destroy.invalid,decidim.elections.admin.answers.destroy.invalid,There was a problem deleting this answer,Beim Löschen dieser Antwort ist ein Problem aufgetreten,
decidim.elections.admin.answers.destroy.success,decidim.elections.admin.answers.destroy.success,Answer successfully deleted,Antwort erfolgreich gelöscht,
decidim.elections.admin.answers.edit.title,decidim.elections.admin.answers.edit.title,Edit answer,Antwort bearbeiten,
decidim.elections.admin.answers.edit.update,decidim.elections.admin.answers.edit.update,Update answer,Antwort aktualisieren,
decidim.elections.admin.answers.index.title,decidim.elections.admin.answers.index.title,Answers,Antworten,
decidim.elections.admin.answers.new.create,decidim.elections.admin.answers.new.create,Create answer,Antwort erstellen,
decidim.elections.admin.answers.new.title,decidim.elections.admin.answers.new.title,New answer,Neue Antwort,
decidim.elections.admin.answers.update.invalid,decidim.elections.admin.answers.update.invalid,There was a problem updating this answer,Bei der Aktualisierung dieser Antwort ist ein Problem aufgetreten,
decidim.elections.admin.answers.update.success,decidim.elections.admin.answers.update.success,Answer successfully updated,Antwort erfolgreich aktualisiert,
decidim.elections.admin.elections.create.invalid,decidim.elections.admin.elections.create.invalid,There was a problem creating this election,Beim Erstellen dieser Wahl ist ein Problem aufgetreten,
decidim.elections.admin.elections.create.success,decidim.elections.admin.elections.create.success,Election successfully created,Wahl erfolgreich erstellt,
decidim.elections.admin.elections.destroy.invalid,decidim.elections.admin.elections.destroy.invalid,There was a problem deleting this election,Beim Löschen dieser Wahl ist ein Problem aufgetreten,
decidim.elections.admin.elections.destroy.success,decidim.elections.admin.elections.destroy.success,Election successfully deleted,Wahl erfolgreich gelöscht,
decidim.elections.admin.elections.edit.title,decidim.elections.admin.elections.edit.title,Edit election,Wahl bearbeiten,
decidim.elections.admin.elections.edit.update,decidim.elections.admin.elections.edit.update,Update election,Wahl aktualisieren,
decidim.elections.admin.elections.index.title,decidim.elections.admin.elections.index.title,Elections,Wahlen,
decidim.elections.admin.elections.new.create,decidim.elections.admin.elections.new.create,Create election,Wahl erstellen,
decidim.elections.admin.elections.new.title,decidim.elections.admin.elections.new.title,New election,Neue Wahl,
decidim.elections.admin.elections.publish.success,decidim.elections.admin.elections.publish.success,The election has been successfully published.,Die Wahl wurde erfolgreich veröffentlicht.,
decidim.elections.admin.elections.unpublish.success,decidim.elections.admin.elections.unpublish.success,The election has been successfully unpublished.,Die Veröffentlichung der Wahl wurde erfolgreich rückgängig gemacht.,
decidim.elections.admin.elections.update.invalid,decidim.elections.admin.elections.update.invalid,There was a problem updating this election,Bei der Aktualisierung dieser Wahl ist ein Problem aufgetreten,
decidim.elections.admin.elections.update.success,decidim.elections.admin.elections.update.success,Election successfully updated,Wahl erfolgreich aktualisiert,
decidim.elections.admin.models.answer.name,decidim.elections.admin.models.answer.name,Answer,Antwort,
decidim.elections.admin.models.election.name,decidim.elections.admin.models.election.name,Election,Wahl,
decidim.elections.admin.models.question.name,decidim.elections.admin.models.question.name,Question,Frage,
decidim.elections.admin.proposals_imports.create.invalid,decidim.elections.admin.proposals_imports.create.invalid,There was a problem importing the proposals into answers,Beim Import der Vorschläge in Antworten ist ein Problem aufgetreten,
decidim.elections.admin.proposals_imports.create.success,decidim.elections.admin.proposals_imports.create.success,%{number} proposals successfully imported into answers,%{number} Vorschläge erfolgreich in Antworten importiert,
decidim.elections.admin.proposals_imports.new.create,decidim.elections.admin.proposals_imports.new.create,Import proposals to answers,Vorschläge in Antworten importieren,
decidim.elections.admin.proposals_imports.new.no_components,decidim.elections.admin.proposals_imports.new.no_components,There are no other proposal components in this participatory space to import the proposals into answers.,"In diesem Beteiligungsbereich gibt es keine weiteren Vorschlagskomponenten, um die Vorschläge in Antworten zu importieren.",
decidim.elections.admin.proposals_imports.new.select_component,decidim.elections.admin.proposals_imports.new.select_component,Please select a component,Bitte wählen Sie eine Komponente,
decidim.elections.admin.questions.create.invalid,decidim.elections.admin.questions.create.invalid,There was a problem creating this question,Beim Erstellen dieser Frage ist ein Problem aufgetreten,
decidim.elections.admin.questions.create.success,decidim.elections.admin.questions.create.success,Question successfully created,Frage erfolgreich erstellt,
decidim.elections.admin.questions.destroy.invalid,decidim.elections.admin.questions.destroy.invalid,There was a problem deleting this question,Beim Löschen dieser Frage ist ein Problem aufgetreten,
decidim.elections.admin.questions.destroy.success,decidim.elections.admin.questions.destroy.success,Question successfully deleted,Frage erfolgreich gelöscht,
decidim.elections.admin.questions.edit.title,decidim.elections.admin.questions.edit.title,Edit question,Frage bearbeiten,
decidim.elections.admin.questions.edit.update,decidim.elections.admin.questions.edit.update,Update question,Frage aktualisieren,
decidim.elections.admin.questions.index.title,decidim.elections.admin.questions.index.title,Questions,Fragen,
decidim.elections.admin.questions.new.create,decidim.elections.admin.questions.new.create,Create question,Frage erstellen,
decidim.elections.admin.questions.new.title,decidim.elections.admin.questions.new.title,New question,Neue Frage,
decidim.elections.admin.questions.update.invalid,decidim.elections.admin.questions.update.invalid,There was a problem updating this question,Beim Aktualisieren dieser Frage ist ein Problem aufgetreten,
decidim.elections.admin.questions.update.success,decidim.elections.admin.questions.update.success,Question successfully updated,Frage erfolgreich aktualisiert,
decidim.elections.admin_log.election.publish,decidim.elections.admin_log.election.publish,%{user_name} published the %{resource_name} election,%{user_name} hat die %{resource_name} Wahl veröffentlicht,
decidim.elections.admin_log.election.unpublish,decidim.elections.admin_log.election.unpublish,%{user_name} unpublished the %{resource_name} election,%{user_name} hat die Veröffentlichung Wahl %{resource_name} rückgängig gemacht,
decidim.elections.election_m.badge_name.finished,decidim.elections.election_m.badge_name.finished,Finished,Fertig,
decidim.elections.election_m.badge_name.ongoing,decidim.elections.election_m.badge_name.ongoing,Active,Aktiv,
decidim.elections.election_m.badge_name.upcoming,decidim.elections.election_m.badge_name.upcoming,Upcoming,Anstehend,
decidim.elections.election_m.end_date,decidim.elections.election_m.end_date,Ends,Endet,
decidim.elections.election_m.footer.view,decidim.elections.election_m.footer.view,View,Anzeigen,
decidim.elections.election_m.footer.vote,decidim.elections.election_m.footer.vote,Vote,Abstimmen,
decidim.elections.election_m.label.date,decidim.elections.election_m.label.date,Dates,Daten,
decidim.elections.election_m.questions,decidim.elections.election_m.questions,Questions %{count},Fragen %{count},
decidim.elections.election_m.start_date,decidim.elections.election_m.start_date,Starts,Beginnt,
decidim.elections.election_m.unspecified,decidim.elections.election_m.unspecified,Not specified,Keine Angabe,
decidim.elections.elections.count.elections_count.one,decidim.elections.elections.count.elections_count.one,%{count} election,%{count} Wahl,
decidim.elections.elections.count.elections_count.other,decidim.elections.elections.count.elections_count.other,%{count} elections,%{count} Wahlen,
decidim.elections.elections.filters.active,decidim.elections.elections.filters.active,Active,Aktiv,
decidim.elections.elections.filters.all,decidim.elections.elections.filters.all,All,Alle,
decidim.elections.elections.filters.finished,decidim.elections.elections.filters.finished,Finished,Fertig,
decidim.elections.elections.filters.search,decidim.elections.elections.filters.search,Search,Suche,
decidim.elections.elections.filters.state,decidim.elections.elections.filters.state,Status,Status,
decidim.elections.elections.filters.upcoming,decidim.elections.elections.filters.upcoming,Upcoming,Anstehend,
decidim.elections.elections.filters_small_view.close_modal,decidim.elections.elections.filters_small_view.close_modal,Close modal,Fenster schließen,
decidim.elections.elections.filters_small_view.filter,decidim.elections.elections.filters_small_view.filter,Filter,Filter,
decidim.elections.elections.filters_small_view.filter_by,decidim.elections.elections.filters_small_view.filter_by,Filter by,Filtern nach,
decidim.elections.elections.filters_small_view.unfold,decidim.elections.elections.filters_small_view.unfold,Unfold,Aufklappen,
decidim.elections.elections.show.back,decidim.elections.elections.show.back,All elections,Alle Wahlen,
decidim.elections.elections.show.preview,decidim.elections.elections.show.preview,Preview,Vorschau,
decidim.elections.elections.show.vote,decidim.elections.elections.show.vote,Vote,Abstimmen,
decidim.elections.elections.show.voting_period_status.finished,decidim.elections.elections.show.voting_period_status.finished,Voting began on %{start_time} and ended on %{end_time},Die Abstimmung begann um %{start_time} und endete am %{end_time},
decidim.elections.elections.show.voting_period_status.ongoing,decidim.elections.elections.show.voting_period_status.ongoing,Voting ends on %{end_time},Abstimmung endet um %{end_time},
decidim.elections.elections.show.voting_period_status.upcoming,decidim.elections.elections.show.voting_period_status.upcoming,Voting begins on %{start_time},Abstimmung beginnt am %{start_time},
decidim.elections.models.answer.fields.proposals,decidim.elections.models.answer.fields.proposals,Proposals,Vorschläge,
decidim.elections.models.answer.fields.title,decidim.elections.models.answer.fields.title,Title,Titel,
decidim.elections.models.election.fields.end_time,decidim.elections.models.election.fields.end_time,End at,Endet am,
decidim.elections.models.election.fields.start_time,decidim.elections.models.election.fields.start_time,Starts at,Beginnt um,
decidim.elections.models.election.fields.title,decidim.elections.models.election.fields.title,Title,Titel,
decidim.elections.models.question.fields.answers,decidim.elections.models.question.fields.answers,Answers,Antworten,
