Key,Key,EN,DE,
activemodel.attributes.answer.body,activemodel.attributes.answer.body,Answer,Antwort,
activemodel.attributes.question.max_choices,activemodel.attributes.question.max_choices,Maximum number of choices,Maximale Anzahl von Auswahlmöglichkeiten,
activemodel.attributes.question.question_type,activemodel.attributes.question.question_type,Type,Typ,
activemodel.attributes.questionnaire_question.mandatory,activemodel.attributes.questionnaire_question.mandatory,Mandatory,Obligatorisch,
activemodel.errors.models.answer.attributes.choices.missing,activemodel.errors.models.answer.attributes.choices.missing,are not complete,sind nicht vollständig,
activemodel.errors.models.answer.attributes.choices.too_many,activemodel.errors.models.answer.attributes.choices.too_many,are too many,sind zu viele,
activemodel.errors.models.questionnaire.request_invalid,activemodel.errors.models.questionnaire.request_invalid,There's been an error handling the request. Please try again,Bei der Bearbeitung der Anfrage ist ein Fehler aufgetreten. Bitte versuchen Sie es noch einmal.,
decidim.forms.admin.models.components.description,decidim.forms.admin.models.components.description,Description,Beschreibung,
decidim.forms.admin.models.components.tos,decidim.forms.admin.models.components.tos,Terms of service,Nutzungsbedingungen,
decidim.forms.admin.questionnaires.actions.back,decidim.forms.admin.questionnaires.actions.back,Back to questions,Zurück zu Fragen,
decidim.forms.admin.questionnaires.actions.show,decidim.forms.admin.questionnaires.actions.show,Show responses,Antworten anzeigen,
decidim.forms.admin.questionnaires.answer_option.answer_option,decidim.forms.admin.questionnaires.answer_option.answer_option,Answer option,Antwort-Option,
decidim.forms.admin.questionnaires.answer_option.free_text,decidim.forms.admin.questionnaires.answer_option.free_text,Free text,Freitext,
decidim.forms.admin.questionnaires.answer_option.remove,decidim.forms.admin.questionnaires.answer_option.remove,Remove,Entfernen,
decidim.forms.admin.questionnaires.answer_option.statement,decidim.forms.admin.questionnaires.answer_option.statement,Statement,Erklärung,
decidim.forms.admin.questionnaires.answers.actions.back,decidim.forms.admin.questionnaires.answers.actions.back,Back to responses,Zurück zu Antworten,
decidim.forms.admin.questionnaires.answers.actions.export,decidim.forms.admin.questionnaires.answers.actions.export,Export,Export,
decidim.forms.admin.questionnaires.answers.actions.show,decidim.forms.admin.questionnaires.answers.actions.show,Show answers,Antworten anzeigen,
decidim.forms.admin.questionnaires.answers.empty,decidim.forms.admin.questionnaires.answers.empty,No answers yet,Noch keine Antworten,
decidim.forms.admin.questionnaires.answers.export.answer.title,decidim.forms.admin.questionnaires.answers.export.answer.title,Response #%{number},Antwort #%{number},
decidim.forms.admin.questionnaires.answers.export_response.title,decidim.forms.admin.questionnaires.answers.export_response.title,survey_user_answers_%{token},survey_user_answers_%{token},
decidim.forms.admin.questionnaires.answers.index.title,decidim.forms.admin.questionnaires.answers.index.title,%{total} total responses,%{total} Antworten insgesamt,
decidim.forms.admin.questionnaires.answers.show.title,decidim.forms.admin.questionnaires.answers.show.title,Answer #%{number},Antwort #%{number},
decidim.forms.admin.questionnaires.display_condition.answer_option,decidim.forms.admin.questionnaires.display_condition.answer_option,Answer option,Antwort-Option,
decidim.forms.admin.questionnaires.display_condition.condition_question,decidim.forms.admin.questionnaires.display_condition.condition_question,Question,Frage,
decidim.forms.admin.questionnaires.display_condition.condition_type,decidim.forms.admin.questionnaires.display_condition.condition_type,Condition,Bedingung,
decidim.forms.admin.questionnaires.display_condition.condition_types.answered,decidim.forms.admin.questionnaires.display_condition.condition_types.answered,Answered,Beantwortet,
decidim.forms.admin.questionnaires.display_condition.condition_types.equal,decidim.forms.admin.questionnaires.display_condition.condition_types.equal,Equal,Gleich,
decidim.forms.admin.questionnaires.display_condition.condition_types.match,decidim.forms.admin.questionnaires.display_condition.condition_types.match,Includes text,Enthält Text,
decidim.forms.admin.questionnaires.display_condition.condition_types.not_answered,decidim.forms.admin.questionnaires.display_condition.condition_types.not_answered,Not answered,Nicht beantwortet,
