Key,Key,EN,DE,
activemodel.attributes.initiative.decidim_user_group_id,activemodel.attributes.initiative.decidim_user_group_id,Author,Autor,
activemodel.attributes.initiative.description,activemodel.attributes.initiative.description,Description,Beschreibung,
activemodel.attributes.initiative.offline_votes,activemodel.attributes.initiative.offline_votes,In-person signatures,Persönliche Unterschriften,
activemodel.attributes.initiative.scope_id,activemodel.attributes.initiative.scope_id,Scope,Reichweite,
activemodel.attributes.initiative.signature_end_date,activemodel.attributes.initiative.signature_end_date,End of signature collection period,Ende des Zeitraums der Unterschriftensammlung,
activemodel.attributes.initiative.signature_start_date,activemodel.attributes.initiative.signature_start_date,Start of signature collection period,Beginn des Zeitraums der Unterschriftensammlung,
activemodel.attributes.initiative.signature_type,activemodel.attributes.initiative.signature_type,Signature collection type,Art der Unterschriftensammlung,
activemodel.attributes.initiative.signature_type_values.any,activemodel.attributes.initiative.signature_type_values.any,Mixed,Gemischt,
activemodel.attributes.initiative.signature_type_values.offline,activemodel.attributes.initiative.signature_type_values.offline,In-person,Persönlich,
activemodel.attributes.initiative.signature_type_values.online,activemodel.attributes.initiative.signature_type_values.online,Online,Online,
activemodel.attributes.initiative.state,activemodel.attributes.initiative.state,Status,Status,
activemodel.attributes.initiative.title,activemodel.attributes.initiative.title,Title,Titel,
activemodel.attributes.initiative_author.address,activemodel.attributes.initiative_author.address,Address,Anschrift,
activemodel.attributes.initiative_author.city,activemodel.attributes.initiative_author.city,City,Stadt,
activemodel.attributes.initiative_author.id_document,activemodel.attributes.initiative_author.id_document,DNI/NIE,DNI/NIE,
activemodel.attributes.initiative_author.name,activemodel.attributes.initiative_author.name,Name and Surname,Vor- und Nachname,
activemodel.attributes.initiative_author.phone_number,activemodel.attributes.initiative_author.phone_number,Phone number,Telefonnummer,
activemodel.attributes.initiative_author.post_code,activemodel.attributes.initiative_author.post_code,Post code,Postleitzahl,
activemodel.attributes.initiative_author.province,activemodel.attributes.initiative_author.province,Province,Provinz,
activemodel.attributes.initiatives_committee_member.user,activemodel.attributes.initiatives_committee_member.user,Committee member,Ausschussmitglied,
activemodel.attributes.initiatives_type.area_enabled,activemodel.attributes.initiatives_type.area_enabled,Enable authors to choose the area for their initiative,"Ermöglichen Sie den Autoren, das Gebiet  für ihre Initiative auszuwählen",
activemodel.attributes.initiatives_type.attachments_enabled,activemodel.attributes.initiatives_type.attachments_enabled,Enable attachments,Anlagen aktivieren,
activemodel.attributes.initiatives_type.banner_image,activemodel.attributes.initiatives_type.banner_image,Banner image,Banner-Bild,
activemodel.attributes.initiatives_type.collect_user_extra_fields,activemodel.attributes.initiatives_type.collect_user_extra_fields,Collect participant personal data on signature,Personenbezogene Daten der Teilnehmer bei der Unterzeichnung einholen,
