Key,Key,EN,DE,
activemodel.attributes.agenda.description,activemodel.attributes.agenda.description,Description,Beschreibung,
activemodel.attributes.agenda.duration,activemodel.attributes.agenda.duration,Duration,Dauer,
activemodel.attributes.agenda.title,activemodel.attributes.agenda.title,Title,Titel,
activemodel.attributes.close_meeting.attendees_count,activemodel.attributes.close_meeting.attendees_count,Number of attendees,Anzahl der Teilnehmer,
activemodel.attributes.close_meeting.attending_organizations,activemodel.attributes.close_meeting.attending_organizations,List of organizations that attended,Liste der teilnehmenden Organisationen,
activemodel.attributes.close_meeting.closing_report,activemodel.attributes.close_meeting.closing_report,Report,Meldung,
activemodel.attributes.close_meeting.contributions_count,activemodel.attributes.close_meeting.contributions_count,Number of contributions,Anzahl der Beiträge,
activemodel.attributes.close_meeting.proposal_ids,activemodel.attributes.close_meeting.proposal_ids,Proposals created in the meeting,In der Sitzung erstellte Vorschläge,
activemodel.attributes.meeting.address,activemodel.attributes.meeting.address,Address,Anschrift,
activemodel.attributes.meeting.available_slots,activemodel.attributes.meeting.available_slots,Available slots for this meeting,Verfügbare Slots für diese Sitzung,
activemodel.attributes.meeting.decidim_category_id,activemodel.attributes.meeting.decidim_category_id,Category,Kategorie,
activemodel.attributes.meeting.decidim_scope_id,activemodel.attributes.meeting.decidim_scope_id,Scope,Reichweite,
activemodel.attributes.meeting.decidim_user_group_id,activemodel.attributes.meeting.decidim_user_group_id,User group,Benutzergruppe,
activemodel.attributes.meeting.description,activemodel.attributes.meeting.description,Description,Beschreibung,
activemodel.attributes.meeting.end_time,activemodel.attributes.meeting.end_time,End Time,Zeitpunkt des Gültigkeitsendes,
activemodel.attributes.meeting.location,activemodel.attributes.meeting.location,Location,Ort,
activemodel.attributes.meeting.location_hints,activemodel.attributes.meeting.location_hints,Location hints,Hinweise zum Standort,
activemodel.attributes.meeting.organizer_gid,activemodel.attributes.meeting.organizer_gid,Create as,Erstellen als,
activemodel.attributes.meeting.organizer_id,activemodel.attributes.meeting.organizer_id,Organizer,Organisator,
activemodel.attributes.meeting.private_meeting,activemodel.attributes.meeting.private_meeting,Private meeting,Private Sitzung,
activemodel.attributes.meeting.registration_form_enabled,activemodel.attributes.meeting.registration_form_enabled,Registration form enabled,Anmeldungsformular aktiviert,
activemodel.attributes.meeting.registration_terms,activemodel.attributes.meeting.registration_terms,Registration terms,Anmeldungsbedingungen,
activemodel.attributes.meeting.registrations_enabled,activemodel.attributes.meeting.registrations_enabled,Registrations enabled,Anmeldungen aktiviert,
activemodel.attributes.meeting.start_time,activemodel.attributes.meeting.start_time,Start Time,Startzeit,
activemodel.attributes.meeting.title,activemodel.attributes.meeting.title,Title,Titel,
activemodel.attributes.meeting.transparent,activemodel.attributes.meeting.transparent,Transparent,Transparent,
activemodel.attributes.minutes.audio_url,activemodel.attributes.minutes.audio_url,Audio url,Audio-URL,
activemodel.attributes.minutes.description,activemodel.attributes.minutes.description,Description,Beschreibung,
activemodel.attributes.minutes.video_url,activemodel.attributes.minutes.video_url,Video url,Video-URL,
activemodel.attributes.minutes.visible,activemodel.attributes.minutes.visible,Is visible,Ist sichtbar,
activemodel.errors.models.meeting_agenda.attributes.base.too_many_minutes,activemodel.errors.models.meeting_agenda.attributes.base.too_many_minutes,The duration of the items exceed the meeting duration by %{count} minutes,Die Dauer der Tagesordnungspunkte übersteigt die Sitzungsdauer um %{count} Minuten,
activemodel.errors.models.meeting_agenda.attributes.base.too_many_minutes_child,activemodel.errors.models.meeting_agenda.attributes.base.too_many_minutes_child,"The duration of the item childs exceed the agenda item ""%{parent_title}"" parent duration by %{count} minutes","Die Dauer der untergeordneten Tagesordnungspunkte übersteigt die Dauer des übergeordneten Tagesordnungspunkts ""%{parent_title}"" um %{count} Minuten",
activemodel.errors.models.meeting_registration_invite.attributes.email.already_invited,activemodel.errors.models.meeting_registration_invite.attributes.email.already_invited,This email account has already been invited,Diese E-Mail-Adresse wurde bereits eingeladen.,
activemodel.models.decidim/meetings/close_meeting_event,activemodel.models.decidim/meetings/close_meeting_event,Meeting closed,Sitzung beendet,
activemodel.models.decidim/meetings/create_meeting_event,activemodel.models.decidim/meetings/create_meeting_event,Meeting,Sitzung,
activemodel.models.decidim/meetings/meeting_registrations_enabled_event,activemodel.models.decidim/meetings/meeting_registrations_enabled_event,Registrations enabled,Anmeldungen aktiviert,
activemodel.models.decidim/meetings/meeting_registrations_over_percentage_event,activemodel.models.decidim/meetings/meeting_registrations_over_percentage_event,Registrations over limit,Anmeldungen über dem Limit,
activemodel.models.decidim/meetings/upcoming_meeting_event,activemodel.models.decidim/meetings/upcoming_meeting_event,Upcoming meeting,Anstehende Sitzung,
activemodel.models.decidim/meetings/update_meeting_event,activemodel.models.decidim/meetings/update_meeting_event,Meeting updated,Sitzung aktualisiert,
activerecord.models.decidim/meetings/meeting.one,activerecord.models.decidim/meetings/meeting.one,Meeting,Sitzung,
activerecord.models.decidim/meetings/meeting.other,activerecord.models.decidim/meetings/meeting.other,Meetings,Sitzungen,
activerecord.models.decidim/meetings/minutes.one,activerecord.models.decidim/meetings/minutes.one,Minutes,Protokoll,
activerecord.models.decidim/meetings/minutes.other,activerecord.models.decidim/meetings/minutes.other,Minutes,Protokoll,
activerecord.models.decidim/meetings/registration.one,activerecord.models.decidim/meetings/registration.one,Registration,Anmeldung,
activerecord.models.decidim/meetings/registration.other,activerecord.models.decidim/meetings/registration.other,Registrations,Anmeldungen,
decidim.admin.meeting_copies.create.error,decidim.admin.meeting_copies.create.error,There was a problem duplicating this meeting.,Beim Duplizieren dieser Sitzung ist ein Problem aufgetreten.,
decidim.admin.meeting_copies.create.success,decidim.admin.meeting_copies.create.success,Meeting successfully duplicated.,Sitzung erfolgreich dupliziert.,
decidim.admin.meeting_copies.new.copy,decidim.admin.meeting_copies.new.copy,Copy,Kopie,
decidim.admin.meeting_copies.new.select,decidim.admin.meeting_copies.new.select,Select which data you would like to duplicate,"Wählen Sie aus, welche Daten Sie duplizieren möchten",
decidim.admin.meeting_copies.new.title,decidim.admin.meeting_copies.new.title,Duplicate meeting,Sitzung duplizieren,
decidim.components.meetings.actions.join,decidim.components.meetings.actions.join,Join,Beitreten,
decidim.components.meetings.name,decidim.components.meetings.name,Meetings,Sitzungen,
