Key,Key,EN,DE,
activerecord.models.decidim/pages/page.one,activerecord.models.decidim/pages/page.one,Page,Seite,
activerecord.models.decidim/pages/page.other,activerecord.models.decidim/pages/page.other,Pages,Seiten,
decidim.admin_log.page.update,decidim.admin_log.page.update,%{user_name} updated the %{resource_name} page in %{space_name},%{user_name} hat die %{resource_name} Seite in %{space_name} aktualisiert,
decidim.components.pages.name,decidim.components.pages.name,Page,Seite,
decidim.components.pages.settings.global.announcement,decidim.components.pages.settings.global.announcement,Announcement,Bekanntmachung,
decidim.components.pages.settings.step.announcement,decidim.components.pages.settings.step.announcement,Announcement,Bekanntmachung,
decidim.pages.admin.models.components.body,decidim.pages.admin.models.components.body,Body,Textkörper,
decidim.pages.admin.pages.edit.save,decidim.pages.admin.pages.edit.save,Update,Aktualisieren,
decidim.pages.admin.pages.edit.title,decidim.pages.admin.pages.edit.title,Edit page,Seite bearbeiten,
decidim.pages.admin.pages.update.invalid,decidim.pages.admin.pages.update.invalid,There was a problem saving the page.,Beim Speichern der Seite ist ein Problem aufgetreten.,
decidim.pages.admin.pages.update.success,decidim.pages.admin.pages.update.success,Page successfully saved.,Seite erfolgreich gespeichert.,
