Key,Key,EN,DE,
activemodel.attributes.participatory_process.announcement,activemodel.attributes.participatory_process.announcement,Announcement,Bekanntmachung,
activemodel.attributes.participatory_process.area_id,activemodel.attributes.participatory_process.area_id,Area,Gebiet,
activemodel.attributes.participatory_process.banner_image,activemodel.attributes.participatory_process.banner_image,Banner image,Banner-Bild,
activemodel.attributes.participatory_process.copy_categories,activemodel.attributes.participatory_process.copy_categories,Copy categories,Kategorien kopieren,
activemodel.attributes.participatory_process.copy_components,activemodel.attributes.participatory_process.copy_components,Copy components,Komponenten kopieren,
activemodel.attributes.participatory_process.copy_steps,activemodel.attributes.participatory_process.copy_steps,Copy steps,Schritte kopieren,
activemodel.attributes.participatory_process.decidim_area_id,activemodel.attributes.participatory_process.decidim_area_id,Area,Gebiet,
activemodel.attributes.participatory_process.description,activemodel.attributes.participatory_process.description,Description,Beschreibung,
activemodel.attributes.participatory_process.developer_group,activemodel.attributes.participatory_process.developer_group,Promoter group,Gruppe der Unterstützer,
activemodel.attributes.participatory_process.domain,activemodel.attributes.participatory_process.domain,Domain,Domain,
activemodel.attributes.participatory_process.end_date,activemodel.attributes.participatory_process.end_date,End date,Enddatum,
activemodel.attributes.participatory_process.hashtag,activemodel.attributes.participatory_process.hashtag,Hashtag,Hashtag,
activemodel.attributes.participatory_process.hero_image,activemodel.attributes.participatory_process.hero_image,Home image,Bildstartseite,
activemodel.attributes.participatory_process.local_area,activemodel.attributes.participatory_process.local_area,Organization area,Gebiet der Organisation,
activemodel.attributes.participatory_process.meta_scope,activemodel.attributes.participatory_process.meta_scope,Scope metadata,Reichweiten-Metadaten,
activemodel.attributes.participatory_process.participatory_process_group_id,activemodel.attributes.participatory_process.participatory_process_group_id,Processes group,Prozessgruppe,
activemodel.attributes.participatory_process.participatory_scope,activemodel.attributes.participatory_process.participatory_scope,What is decided,Was wird entschieden,
activemodel.attributes.participatory_process.participatory_structure,activemodel.attributes.participatory_process.participatory_structure,How is it decided,Wie wird entschieden,
activemodel.attributes.participatory_process.promoted,activemodel.attributes.participatory_process.promoted,Promoted,Unterstützt,
activemodel.attributes.participatory_process.published_at,activemodel.attributes.participatory_process.published_at,Published at,Veröffentlicht unter,
activemodel.attributes.participatory_process.related_process_ids,activemodel.attributes.participatory_process.related_process_ids,Related processes,Verbundene Prozesse,
activemodel.attributes.participatory_process.scope_id,activemodel.attributes.participatory_process.scope_id,Scope,Reichweite,
activemodel.attributes.participatory_process.scope_type_max_depth_id,activemodel.attributes.participatory_process.scope_type_max_depth_id,Scope filter depth,Tiefe des Reichweitenfilters,
activemodel.attributes.participatory_process.scopes_enabled,activemodel.attributes.participatory_process.scopes_enabled,Scopes enabled,Reichweiten aktiviert,
activemodel.attributes.participatory_process.short_description,activemodel.attributes.participatory_process.short_description,Short description,Kurzbeschreibung,
activemodel.attributes.participatory_process.show_metrics,activemodel.attributes.participatory_process.show_metrics,Show metrics,Metriken anzeigen,
activemodel.attributes.participatory_process.show_statistics,activemodel.attributes.participatory_process.show_statistics,Show statistics,Statistiken einblenden,
activemodel.attributes.participatory_process.slug,activemodel.attributes.participatory_process.slug,URL slug,URL-Slug,
activemodel.attributes.participatory_process.start_date,activemodel.attributes.participatory_process.start_date,Start date,Anfangsdatum,
activemodel.attributes.participatory_process.subtitle,activemodel.attributes.participatory_process.subtitle,Subtitle,Untertitel,
activemodel.attributes.participatory_process.target,activemodel.attributes.participatory_process.target,Who participates,Wer nimmt teil,
activemodel.attributes.participatory_process.title,activemodel.attributes.participatory_process.title,Title,Titel,
activemodel.attributes.participatory_process_group.description,activemodel.attributes.participatory_process_group.description,Description,Beschreibung,
activemodel.attributes.participatory_process_group.hero_image,activemodel.attributes.participatory_process_group.hero_image,Image,Bild,
activemodel.attributes.participatory_process_group.name,activemodel.attributes.participatory_process_group.name,Name,Name,
activemodel.attributes.participatory_process_group.participatory_process_ids,activemodel.attributes.participatory_process_group.participatory_process_ids,Related processes,Verbundene Prozesse,
activemodel.attributes.participatory_process_step.cta_path,activemodel.attributes.participatory_process_step.cta_path,Call to Action path,Pfad der Handlungsaufforderung,
activemodel.attributes.participatory_process_step.cta_text,activemodel.attributes.participatory_process_step.cta_text,Call to Action text,Text der Handlungsaufforderung,
activemodel.attributes.participatory_process_step.description,activemodel.attributes.participatory_process_step.description,Description,Beschreibung,
activemodel.attributes.participatory_process_step.end_date,activemodel.attributes.participatory_process_step.end_date,End date,Enddatum,
activemodel.attributes.participatory_process_step.short_description,activemodel.attributes.participatory_process_step.short_description,Short description,Kurzbeschreibung,
activemodel.attributes.participatory_process_step.start_date,activemodel.attributes.participatory_process_step.start_date,Start date,Anfangsdatum,
activemodel.attributes.participatory_process_step.title,activemodel.attributes.participatory_process_step.title,Title,Titel,
activemodel.attributes.participatory_process_user_role.email,activemodel.attributes.participatory_process_user_role.email,Email,E-Mail,
activemodel.attributes.participatory_process_user_role.name,activemodel.attributes.participatory_process_user_role.name,Name,Name,
activemodel.attributes.participatory_process_user_role.role,activemodel.attributes.participatory_process_user_role.role,Role,Rolle,
activemodel.errors.models.participatory_process.attributes.document.invalid_document_type,activemodel.errors.models.participatory_process.attributes.document.invalid_document_type,Invalid document type. Accepted formats are: %{valid_mime_types},Ungültiger Dokumenttyp. Akzeptierte Formate sind: %{valid_mime_types},
activemodel.models.decidim/participatory_process_step_activated_event,activemodel.models.decidim/participatory_process_step_activated_event,Phase activated,Phase aktiviert,
activemodel.models.decidim/participatory_process_step_changed_event,activemodel.models.decidim/participatory_process_step_changed_event,Phase changed,Phase geändert,
activerecord.models.decidim/participatory_process.one,activerecord.models.decidim/participatory_process.one,Participatory process,Beteiligungsprozesse,
activerecord.models.decidim/participatory_process.other,activerecord.models.decidim/participatory_process.other,Participatory processes,Beteiligungsprozesse,
activerecord.models.decidim/participatory_process_group.one,activerecord.models.decidim/participatory_process_group.one,Participatory process group,Beteiligungsprozessgruppe,
activerecord.models.decidim/participatory_process_group.other,activerecord.models.decidim/participatory_process_group.other,Participatory process groups,Beteiligungsprozessgruppen,
activerecord.models.decidim/participatory_process_step.one,activerecord.models.decidim/participatory_process_step.one,Phase,Phase,
activerecord.models.decidim/participatory_process_step.other,activerecord.models.decidim/participatory_process_step.other,Phases,Phasen,
decidim.admin.actions.activate,decidim.admin.actions.activate,Activate,Aktivieren,
decidim.admin.actions.configure,decidim.admin.actions.configure,Configure,Konfigurieren,
decidim.admin.actions.confirm_destroy,decidim.admin.actions.confirm_destroy,Confirm delete,Löschen bestätigen,
decidim.admin.actions.destroy,decidim.admin.actions.destroy,Delete,Löschen,
decidim.admin.actions.duplicate,decidim.admin.actions.duplicate,Duplicate,Duplizieren,
decidim.admin.actions.edit,decidim.admin.actions.edit,Edit,Bearbeiten,
decidim.admin.actions.filter.all_processes,decidim.admin.actions.filter.all_processes,Show all processes,Alle Prozesse anzeigen,
decidim.admin.actions.filter.process_groups,decidim.admin.actions.filter.process_groups,Process Groups,Prozessgruppen,
decidim.admin.actions.import_process,decidim.admin.actions.import_process,Import,Import,
decidim.admin.actions.new_process,decidim.admin.actions.new_process,New process,Neuer Prozess,
decidim.admin.actions.new_process_group,decidim.admin.actions.new_process_group,New process group,Neue Prozessgruppe,
decidim.admin.actions.new_process_step,decidim.admin.actions.new_process_step,New phase,Neue Phase,
decidim.admin.actions.new_process_user_role,decidim.admin.actions.new_process_user_role,New process admin,Administrator neuer Prozess,
decidim.admin.actions.preview,decidim.admin.actions.preview,Preview,Vorschau,
decidim.admin.actions.publish,decidim.admin.actions.publish,Publish,Veröffentlichen,
decidim.admin.actions.resend_invitation,decidim.admin.actions.resend_invitation,Resend invitation,Einladung erneut senden,
decidim.admin.actions.unpublish,decidim.admin.actions.unpublish,Unpublish,Veröffentlichung rückgängig machen,
