Key,Key,EN,DE,
activemodel.attributes.collaborative_draft.address,activemodel.attributes.collaborative_draft.address,Address,Anschrift,
activemodel.attributes.collaborative_draft.body,activemodel.attributes.collaborative_draft.body,Body,Textkörper,
activemodel.attributes.collaborative_draft.category_id,activemodel.attributes.collaborative_draft.category_id,Category,Kategorie,
activemodel.attributes.collaborative_draft.decidim_scope_id,activemodel.attributes.collaborative_draft.decidim_scope_id,Scope,Reichweite,
activemodel.attributes.collaborative_draft.has_address,activemodel.attributes.collaborative_draft.has_address,Has address,Hat die Adresse,
activemodel.attributes.collaborative_draft.scope_id,activemodel.attributes.collaborative_draft.scope_id,Scope,Reichweite,
activemodel.attributes.collaborative_draft.state,activemodel.attributes.collaborative_draft.state,State,Status,
activemodel.attributes.collaborative_draft.title,activemodel.attributes.collaborative_draft.title,Title,Titel,
activemodel.attributes.collaborative_draft.user_group_id,activemodel.attributes.collaborative_draft.user_group_id,Create collaborative draft as,Gemeinsamen Entwurf erstellen als,
activemodel.attributes.proposal.address,activemodel.attributes.proposal.address,Address,Anschrift,
activemodel.attributes.proposal.answer,activemodel.attributes.proposal.answer,Answer,Antwort,
activemodel.attributes.proposal.answered_at,activemodel.attributes.proposal.answered_at,Answered at,Beantwortet am,
activemodel.attributes.proposal.automatic_hashtags,activemodel.attributes.proposal.automatic_hashtags,Hashtags automatically added,Hashtags automatisch hinzugefügt,
activemodel.attributes.proposal.body,activemodel.attributes.proposal.body,Body,Textkörper,
activemodel.attributes.proposal.category_id,activemodel.attributes.proposal.category_id,Category,Kategorie,
activemodel.attributes.proposal.decidim_scope_id,activemodel.attributes.proposal.decidim_scope_id,Scope,Reichweite,
activemodel.attributes.proposal.has_address,activemodel.attributes.proposal.has_address,Has address,Hat die Adresse,
activemodel.attributes.proposal.scope_id,activemodel.attributes.proposal.scope_id,Scope,Reichweite,
activemodel.attributes.proposal.state,activemodel.attributes.proposal.state,State,Status,
activemodel.attributes.proposal.suggested_hashtags,activemodel.attributes.proposal.suggested_hashtags,Suggested hashtags,Vorgeschlagene Hashtags,
activemodel.attributes.proposal.title,activemodel.attributes.proposal.title,Title,Titel,
activemodel.attributes.proposal.user_group_id,activemodel.attributes.proposal.user_group_id,Create proposal as,Vorschlag erstellen als,
activemodel.attributes.proposal_answer.answer,activemodel.attributes.proposal_answer.answer,Answer,Antwort,
activemodel.attributes.proposals_copy.copy_proposals,activemodel.attributes.proposals_copy.copy_proposals,I understand that this will import all proposals from the selected component to the current one and that this action can't be reversed.,"Ich verstehe, dass dadurch alle Vorschläge aus der ausgewählten Komponente in die aktuelle importiert werden und dass diese Aktion nicht rückgängig gemacht werden kann.",
activemodel.attributes.proposals_copy.origin_component_id,activemodel.attributes.proposals_copy.origin_component_id,Component to copy the proposals from,Komponente zum Kopieren der Vorschläge von,
activemodel.attributes.proposals_import.import_proposals,activemodel.attributes.proposals_import.import_proposals,Import proposals,Vorschläge importieren,
activemodel.attributes.proposals_import.keep_authors,activemodel.attributes.proposals_import.keep_authors,Keep original authors,Originalautoren beibehalten,
activemodel.attributes.valuation_assignment.admin_log.valuator_role_id,activemodel.attributes.valuation_assignment.admin_log.valuator_role_id,Valuator name,Name des Bewerters,
activemodel.errors.models.participatory_text.attributes.document.invalid_document_type,activemodel.errors.models.participatory_text.attributes.document.invalid_document_type,Invalid document type. Accepted formats are: %{valid_mime_types},Ungültiger Dokumenttyp. Akzeptierte Formate sind: %{valid_mime_types},
activemodel.errors.models.proposal.attributes.attachment.needs_to_be_reattached,activemodel.errors.models.proposal.attributes.attachment.needs_to_be_reattached,Needs to be reattached,Muss erneut angehängt werden,
activemodel.errors.models.proposal.attributes.body.cant_be_equal_to_template,activemodel.errors.models.proposal.attributes.body.cant_be_equal_to_template,cannot be equal to the template,kann nicht gleich der Vorlage sein,
activemodel.errors.models.proposal.attributes.body.identical,activemodel.errors.models.proposal.attributes.body.identical,AND title cannot be identical,UND Titel kann nicht identisch sein,
activemodel.errors.models.proposal.attributes.title.identical,activemodel.errors.models.proposal.attributes.title.identical,AND body cannot be identical,UND Textkörper kann nicht identisch sein,
activemodel.models.decidim/proposals/accepted_proposal_event,activemodel.models.decidim/proposals/accepted_proposal_event,Proposal accepted,Vorschlag angenommen,
activemodel.models.decidim/proposals/admin/update_proposal_category_event,activemodel.models.decidim/proposals/admin/update_proposal_category_event,Proposal category changed,Vorschlagskategorie geändert,
activemodel.models.decidim/proposals/admin/update_proposal_scope_event,activemodel.models.decidim/proposals/admin/update_proposal_scope_event,Proposal scope changed,Reichweite des Vorschlags geändert,
activemodel.models.decidim/proposals/creation_enabled_event,activemodel.models.decidim/proposals/creation_enabled_event,Proposal creation enabled,Erstellung des Vorschlags aktiviert,
activemodel.models.decidim/proposals/endorsing_enabled_event,activemodel.models.decidim/proposals/endorsing_enabled_event,Proposal endorsing enabled,Unterstützung des Vorschlags aktiviert,
activemodel.models.decidim/proposals/evaluating_proposal_event,activemodel.models.decidim/proposals/evaluating_proposal_event,Proposal is being evaluated,Vorschlag wird derzeit bewertet,
activemodel.models.decidim/proposals/proposal_mentioned_event,activemodel.models.decidim/proposals/proposal_mentioned_event,Proposal mentioned,Vorschlag erwähnt,
activemodel.models.decidim/proposals/publish_proposal_event,activemodel.models.decidim/proposals/publish_proposal_event,Proposal published,Vorschlag veröffentlicht,
activemodel.models.decidim/proposals/rejected_proposal_event,activemodel.models.decidim/proposals/rejected_proposal_event,Proposal rejected,Vorschlag abgelehnt,
activemodel.models.decidim/proposals/voting_enabled_event,activemodel.models.decidim/proposals/voting_enabled_event,Proposal voting enabled,Abstimmung über den Vorschlag aktiviert,
activerecord.models.decidim/proposals/collaborative_draft.one,activerecord.models.decidim/proposals/collaborative_draft.one,Collaborative draft,Gemeinsamer Entwurf,
activerecord.models.decidim/proposals/collaborative_draft.other,activerecord.models.decidim/proposals/collaborative_draft.other,Collaborative drafts,Gemeinsame Entwürfe,
activerecord.models.decidim/proposals/proposal.one,activerecord.models.decidim/proposals/proposal.one,Proposal,Vorschlag,
activerecord.models.decidim/proposals/proposal.other,activerecord.models.decidim/proposals/proposal.other,Proposals,Vorschläge,
activerecord.models.decidim/proposals/proposal_note.one,activerecord.models.decidim/proposals/proposal_note.one,Note,Erläuterung,
activerecord.models.decidim/proposals/proposal_note.other,activerecord.models.decidim/proposals/proposal_note.other,Notes,Anmerkungen,
activerecord.models.decidim/proposals/proposal_vote.one,activerecord.models.decidim/proposals/proposal_vote.one,Support,Unterstützung,
activerecord.models.decidim/proposals/proposal_vote.other,activerecord.models.decidim/proposals/proposal_vote.other,Supports,Unterstützungen,
decidim.admin.filters.proposals.category_id_eq.label,decidim.admin.filters.proposals.category_id_eq.label,Category,Kategorie,
decidim.admin.filters.proposals.is_emendation_true.label,decidim.admin.filters.proposals.is_emendation_true.label,Type,Typ,
decidim.admin.filters.proposals.is_emendation_true.values.false,decidim.admin.filters.proposals.is_emendation_true.values.false,Proposals,Vorschläge,
decidim.admin.filters.proposals.is_emendation_true.values.true,decidim.admin.filters.proposals.is_emendation_true.values.true,Amendments,Änderungen,
decidim.admin.filters.proposals.scope_id_eq.label,decidim.admin.filters.proposals.scope_id_eq.label,Scope,Reichweite,
