Key,Key,EN,DE,
activemodel.attributes.sortition.additional_info,activemodel.attributes.sortition.additional_info,Sortition information,Auslosungsinformationen,
activemodel.attributes.sortition.decidim_category_id,activemodel.attributes.sortition.decidim_category_id,Categories of the set of proposals in which you want to apply the draw,"Kategorien der Gruppe von Vorschlägen, auf welche Sie die Auslosung anwenden möchten",
activemodel.attributes.sortition.decidim_proposals_component_id,activemodel.attributes.sortition.decidim_proposals_component_id,Proposals set,Gruppe von Vorschlägen,
activemodel.attributes.sortition.dice,activemodel.attributes.sortition.dice,"Result of die roll. Roll a 6-sided die, or look for another random way to generate a number from 1 to 6, and enter here the resulting number in front of some witnesses. This contributes to the quality and guarantees of the randomness of the result","Ergebnis des Würfelwurfs. Würfeln Sie mit einem 6-seitigen Würfel oder suchen Sie nach einer anderen zufälligen Methode, um eine Zahl von 1 bis 6 zu erzeugen, und geben Sie hier die resultierende Zahl vor einigen Zeugen ein. Dies trägt zur Qualität bei und garantiert die Zufälligkeit des Ergebnisses",
activemodel.attributes.sortition.target_items,activemodel.attributes.sortition.target_items,Number of proposals to be selected (indicates the number of proposals you want to be selected by drawing lots of the group of proposals you have previously chosen),"Anzahl der Vorschläge, die ausgewählt werden sollen (gibt die Anzahl der Vorschläge an, die Sie durch Auslosung der von Ihnen zuvor ausgewählten Gruppe von Vorschlägen auswählen möchten)",
activemodel.attributes.sortition.title,activemodel.attributes.sortition.title,Title,Titel,
activemodel.attributes.sortition.witnesses,activemodel.attributes.sortition.witnesses,Witnesses,Zeugen,
activemodel.models.decidim/sortitions/create_sortition_event,activemodel.models.decidim/sortitions/create_sortition_event,Sortition,Auslosung,
activerecord.models.decidim/sortitions/sortition.one,activerecord.models.decidim/sortitions/sortition.one,Sortition,Auslosung,
activerecord.models.decidim/sortitions/sortition.other,activerecord.models.decidim/sortitions/sortition.other,Sortitions,Auslosungen,
decidim.components.sortitions.name,decidim.components.sortitions.name,Sortitions,Auslosungen,
decidim.components.sortitions.settings.global.comments_enabled,decidim.components.sortitions.settings.global.comments_enabled,Comments enabled,Kommentare aktiviert,
decidim.components.sortitions.settings.global.comments_max_length,decidim.components.sortitions.settings.global.comments_max_length,Comments max length (Leave 0 for default value),Maximale Länge des Kommentars (0 als Standardwert unverändert lassen),
decidim.events.sortitions.sortition_created.email_intro,decidim.events.sortitions.sortition_created.email_intro,"The sortition ""%{resource_title}"" has been added to ""%{participatory_space_title}"" that you are following.","Der Auslosung ""%{resource_title}"" wurde ""%{participatory_space_title}"" hinzugefügt, dem Sie folgen.",
decidim.events.sortitions.sortition_created.email_outro,decidim.events.sortitions.sortition_created.email_outro,"You have received this notification because you are following ""%{participatory_space_title}"". You can unfollow it from the previous link.","Sie haben diese Benachrichtigung erhalten, weil Sie ""%{participatory_space_title}"" folgen. Sie können sich über den vorstehenden Link abmelden.",
decidim.events.sortitions.sortition_created.email_subject,decidim.events.sortitions.sortition_created.email_subject,New sortition added to %{participatory_space_title},Neue Auslosung %{participatory_space_title} hinzugefügt,
decidim.events.sortitions.sortition_created.notification_title,decidim.events.sortitions.sortition_created.notification_title,"The sortition <a href=""%{resource_path}"">%{resource_title}</a> has been added to %{participatory_space_title}","Die Auslosung <a href=""%{resource_path}"">%{resource_title}</a> wurde %{participatory_space_title} hinzugefügt",
decidim.pages.home.statistics.sortitions_count,decidim.pages.home.statistics.sortitions_count,Sortitions,Auslosungen,
decidim.participatory_processes.statistics.sortitions_count,decidim.participatory_processes.statistics.sortitions_count,Sortitions,Auslosungen,
decidim.sortitions.admin.actions.destroy,decidim.sortitions.admin.actions.destroy,Cancel the sortition,Auslosung annullieren,
decidim.sortitions.admin.actions.edit,decidim.sortitions.admin.actions.edit,Edit,Bearbeiten,
decidim.sortitions.admin.actions.new,decidim.sortitions.admin.actions.new,New sortition,Neue Auslosung,
decidim.sortitions.admin.actions.show,decidim.sortitions.admin.actions.show,Sortition details,Details Auslosung,
decidim.sortitions.admin.models.sortition.fields.category,decidim.sortitions.admin.models.sortition.fields.category,Category,Kategorie,
decidim.sortitions.admin.models.sortition.fields.created_at,decidim.sortitions.admin.models.sortition.fields.created_at,Creation date,Erstellungsdatum,
decidim.sortitions.admin.models.sortition.fields.decidim_proposals_component,decidim.sortitions.admin.models.sortition.fields.decidim_proposals_component,Proposals component,Komponente Vorschläge,
decidim.sortitions.admin.models.sortition.fields.dice,decidim.sortitions.admin.models.sortition.fields.dice,Dice,Würfel,
decidim.sortitions.admin.models.sortition.fields.reference,decidim.sortitions.admin.models.sortition.fields.reference,Reference,Quelle,
decidim.sortitions.admin.models.sortition.fields.request_timestamp,decidim.sortitions.admin.models.sortition.fields.request_timestamp,Draw time,Zeitpunkt der Auslosung,
decidim.sortitions.admin.models.sortition.fields.seed,decidim.sortitions.admin.models.sortition.fields.seed,Seed,Startwert,
decidim.sortitions.admin.models.sortition.fields.target_items,decidim.sortitions.admin.models.sortition.fields.target_items,Items to select,Auszuwählende Elemente,
decidim.sortitions.admin.models.sortition.fields.title,decidim.sortitions.admin.models.sortition.fields.title,Title,Titel,
decidim.sortitions.admin.models.sortition.name.one,decidim.sortitions.admin.models.sortition.name.one,Sortition,Auslosung,
decidim.sortitions.admin.models.sortition.name.other,decidim.sortitions.admin.models.sortition.name.other,Sortitions,Auslosungen,
decidim.sortitions.admin.sortitions.confirm_destroy.confirm_destroy,decidim.sortitions.admin.sortitions.confirm_destroy.confirm_destroy,Are you sure you want to cancel this sortition?,"Sind Sie sicher, dass Sie diese Auslosung annullieren möchten?",
decidim.sortitions.admin.sortitions.confirm_destroy.destroy,decidim.sortitions.admin.sortitions.confirm_destroy.destroy,Cancel sortition,Auslosung annullieren,
decidim.sortitions.admin.sortitions.confirm_destroy.title,decidim.sortitions.admin.sortitions.confirm_destroy.title,Cancellation of the sortition,Annullierung der Auslosung,
decidim.sortitions.admin.sortitions.create.error,decidim.sortitions.admin.sortitions.create.error,There was a problem creating a new sortition.,Beim Erstellen einer neuen Auslosung ist ein Problem aufgetreten.,
decidim.sortitions.admin.sortitions.create.success,decidim.sortitions.admin.sortitions.create.success,Sortition successfully created,Auslosung erfolgreich erstellt,
decidim.sortitions.admin.sortitions.destroy.error,decidim.sortitions.admin.sortitions.destroy.error,Can not cancel the sortition.,Auslosung kann nicht annulliert werden.,
decidim.sortitions.admin.sortitions.destroy.success,decidim.sortitions.admin.sortitions.destroy.success,Sortition successfully cancelled,Auslosung erfolgreich annulliert,
decidim.sortitions.admin.sortitions.edit.title,decidim.sortitions.admin.sortitions.edit.title,Update the information about the sortition,Aktualisieren Sie die Informationen über die Auslosung,
decidim.sortitions.admin.sortitions.edit.update,decidim.sortitions.admin.sortitions.edit.update,Update,Aktualisieren,
decidim.sortitions.admin.sortitions.form.all_categories,decidim.sortitions.admin.sortitions.form.all_categories,All categories,Alle Kategorien,
decidim.sortitions.admin.sortitions.form.select_proposal_component,decidim.sortitions.admin.sortitions.form.select_proposal_component,Select the proposals set,Vorschlagssatz auswählen,
decidim.sortitions.admin.sortitions.form.title,decidim.sortitions.admin.sortitions.form.title,New sortition for proposals,Neue Auslosung für Vorschläge,
