Key,Key,EN,DE,
activemodel.attributes.oauth_application.name,activemodel.attributes.oauth_application.name,OAuth Application Name,Name OAuth-Anwendung,
activemodel.attributes.oauth_application.organization_logo,activemodel.attributes.oauth_application.organization_logo,Organization logo (square),Logo der Organisation (Quadrat),
activemodel.attributes.oauth_application.organization_name,activemodel.attributes.oauth_application.organization_name,Organization,Organisation,
activemodel.attributes.oauth_application.organization_url,activemodel.attributes.oauth_application.organization_url,Organization URL,URL der Organisation,
activemodel.attributes.oauth_application.redirect_uri,activemodel.attributes.oauth_application.redirect_uri,Redirect URI,URI umleiten,
activemodel.errors.models.oauth_application.attributes.redirect_uri.must_be_ssl,activemodel.errors.models.oauth_application.attributes.redirect_uri.must_be_ssl,The redirect URI must be a SSL URI,Die Umleitungs-URI muss eine SSL-URI sein,
decidim.system.actions.confirm_destroy,decidim.system.actions.confirm_destroy,Are you sure you want to delete this?,"Sind Sie sicher, dass Sie dies löschen möchten?",
decidim.system.actions.destroy,decidim.system.actions.destroy,Delete,Löschen,
decidim.system.actions.edit,decidim.system.actions.edit,Edit,Bearbeiten,
decidim.system.actions.new,decidim.system.actions.new,New,Neu,
decidim.system.actions.save,decidim.system.actions.save,Save,Speichern,
decidim.system.actions.title,decidim.system.actions.title,Actions,Aktionen,
decidim.system.admins.create.error,decidim.system.admins.create.error,There was a problem creating a new admin.,Bei der Erstellung eines neuen Administrators ist ein Problem aufgetreten.,
decidim.system.admins.create.success,decidim.system.admins.create.success,Admin successfully created,Administrator erfolgreich erstellt,
decidim.system.admins.destroy.success,decidim.system.admins.destroy.success,Admin successfully deleted,Administrator erfolgreich gelöscht,
decidim.system.admins.edit.title,decidim.system.admins.edit.title,Edit admin,Administrator bearbeiten,
decidim.system.admins.edit.update,decidim.system.admins.edit.update,Update,Aktualisieren,
decidim.system.admins.index.title,decidim.system.admins.index.title,Admins,Administratoren,
decidim.system.admins.new.create,decidim.system.admins.new.create,Create,Erstellen,
decidim.system.admins.new.title,decidim.system.admins.new.title,New admin,Neuer Administrator,
decidim.system.admins.update.error,decidim.system.admins.update.error,There was a problem updating this admin.,Bei der Aktualisierung dieses Administrators ist ein Problem aufgetreten.,
decidim.system.admins.update.success,decidim.system.admins.update.success,Admin successfully updated,Administrator erfolgreich aktualisiert,
decidim.system.default_pages.placeholders.content,decidim.system.default_pages.placeholders.content,Please add meaningful content to the %{page} static page on the admin dashboard.,Bitte fügen Sie der %{page} statischen Seite auf dem Admin-Dashboard einen aussagekräftigen Inhalt hinzu.,
decidim.system.default_pages.placeholders.title,decidim.system.default_pages.placeholders.title,Default title for %{page},Standardtitel für %{page},
decidim.system.menu.admins,decidim.system.menu.admins,Admins,Administratoren,
decidim.system.menu.dashboard,decidim.system.menu.dashboard,Dashboard,Dashboard,
decidim.system.menu.oauth_applications,decidim.system.menu.oauth_applications,OAuth applications,OAuth-Anwendungen,
decidim.system.menu.organizations,decidim.system.menu.organizations,Organizations,Organisationen,
decidim.system.models.admin.fields.created_at,decidim.system.models.admin.fields.created_at,Created at,Erstellt am,
decidim.system.models.admin.fields.email,decidim.system.models.admin.fields.email,Email,E-Mail,
decidim.system.models.admin.name,decidim.system.models.admin.name,Admin,Administrator,
decidim.system.models.admin.validations.email_uniqueness,decidim.system.models.admin.validations.email_uniqueness,another admin with the same email already exists,ein anderer Administrator mit der gleichen E-Mail existiert bereits,
decidim.system.models.oauth_application.fields.created_at,decidim.system.models.oauth_application.fields.created_at,Created at,Erstellt am,
decidim.system.models.oauth_application.fields.name,decidim.system.models.oauth_application.fields.name,OAuth application name,Name OAuth-Anwendung,
decidim.system.models.oauth_application.fields.organization_name,decidim.system.models.oauth_application.fields.organization_name,Organization,Organisation,
decidim.system.models.oauth_application.name,decidim.system.models.oauth_application.name,OAuth application,OAuth-Antrag,
decidim.system.models.organization.actions.save_and_invite,decidim.system.models.organization.actions.save_and_invite,Create organization & invite admin,Organisation erstellen und Administrator einladen,
decidim.system.models.organization.fields.created_at,decidim.system.models.organization.fields.created_at,Created at,Erstellt am,
decidim.system.models.organization.fields.name,decidim.system.models.organization.fields.name,Name,Name,
decidim.system.models.organization.fields.omniauth_settings,decidim.system.models.organization.fields.omniauth_settings,Omniauth settings,Omniauth-Einstellungen,
decidim.system.models.organization.fields.smtp_settings,decidim.system.models.organization.fields.smtp_settings,SMTP settings,SMTP-Einstellungen,
decidim.system.models.organization.name,decidim.system.models.organization.name,Organization,Organisation,
decidim.system.oauth_applications.create.error,decidim.system.oauth_applications.create.error,There was a problem creating this application.,Beim Erstellen dieser Anwendung ist ein Problem aufgetreten.,
decidim.system.oauth_applications.create.success,decidim.system.oauth_applications.create.success,Application created successfully.,Anwendung erfolgreich erstellt.,
decidim.system.oauth_applications.destroy.error,decidim.system.oauth_applications.destroy.error,There was a problem destroying this application.,Beim Löschen dieser Anwendung ist ein Problem aufgetreten.,
decidim.system.oauth_applications.destroy.success,decidim.system.oauth_applications.destroy.success,Application destroyed successfully.,Anwendung erfolgreich gelöscht.,
decidim.system.oauth_applications.edit.save,decidim.system.oauth_applications.edit.save,Save,Speichern,
decidim.system.oauth_applications.edit.title,decidim.system.oauth_applications.edit.title,Edit application,Antrag bearbeiten,
decidim.system.oauth_applications.form.select_organization,decidim.system.oauth_applications.form.select_organization,Select an organization,Eine Organisation auswählen,
decidim.system.oauth_applications.index.confirm_delete,decidim.system.oauth_applications.index.confirm_delete,Are you sure you want to delete this application?,"Sind Sie sicher, dass Sie diese Anwendung löschen möchten?",
decidim.system.oauth_applications.index.title,decidim.system.oauth_applications.index.title,OAuth applications,OAuth-Anwendungen,
decidim.system.oauth_applications.new.save,decidim.system.oauth_applications.new.save,Save,Speichern,
decidim.system.oauth_applications.new.title,decidim.system.oauth_applications.new.title,New application,Neuer Antrag,
decidim.system.oauth_applications.update.error,decidim.system.oauth_applications.update.error,There was a problem updating this application.,Beim Aktualisieren dieser Anwendung ist ein Problem aufgetreten.,
decidim.system.oauth_applications.update.success,decidim.system.oauth_applications.update.success,Application updated successfully.,Anwendung erfolgreich aktualisiert.,
decidim.system.organizations.create.error,decidim.system.organizations.create.error,There was a problem creating a new organization.,Bei der Erstellung einer neuen Organisation ist ein Problem aufgetreten.,
decidim.system.organizations.create.success,decidim.system.organizations.create.success,Organization successfully created.,Organisation erfolgreich erstellt,
decidim.system.organizations.edit.secondary_hosts_hint,decidim.system.organizations.edit.secondary_hosts_hint,Enter each one of them in a new line,Jeweils in eine neue Zeile einfügen,
decidim.system.organizations.index.title,decidim.system.organizations.index.title,Organizations,Organisationen,
decidim.system.organizations.new.reference_prefix_hint,decidim.system.organizations.new.reference_prefix_hint,The reference prefix is used to uniquely identify resources across all organization,Das Referenzpräfix wird zur eindeutigen Identifizierung von Ressourcen in der gesamten Organisation verwendet,
decidim.system.organizations.new.secondary_hosts_hint,decidim.system.organizations.new.secondary_hosts_hint,Enter each one of them in a new line,Jeweils in eine neue Zeile einfügen,
decidim.system.organizations.new.title,decidim.system.organizations.new.title,New organization,Neue Organisation,
decidim.system.organizations.omniauth_settings.decidim.client_id,decidim.system.organizations.omniauth_settings.decidim.client_id,Client ID,Kunden-ID,
