Key,Key,EN,DE,
activemodel.attributes.config.available_methods,activemodel.attributes.config.available_methods,Available methods,Verfügbare Methoden,
activemodel.attributes.config.offline,activemodel.attributes.config.offline,Offline,Offline,
activemodel.attributes.config.offline_explanation,activemodel.attributes.config.offline_explanation,Instructions for offline verification,Anweisungen für die Offline-Verifizierung,
activemodel.attributes.config.online,activemodel.attributes.config.online,Online,Online,
activemodel.attributes.id_document_information.document_number,activemodel.attributes.id_document_information.document_number,Document number (with letter),Nummer Dokument (mit Buchstaben),
activemodel.attributes.id_document_information.document_type,activemodel.attributes.id_document_information.document_type,Type of the document,Art des Dokuments,
activemodel.attributes.id_document_upload.document_number,activemodel.attributes.id_document_upload.document_number,Document number (with letter),Nummer Dokument (mit Buchstaben),
activemodel.attributes.id_document_upload.document_type,activemodel.attributes.id_document_upload.document_type,Type of your document,Art Ihres Dokuments,
activemodel.attributes.id_document_upload.user,activemodel.attributes.id_document_upload.user,Participant,Teilnehmer,
activemodel.attributes.id_document_upload.verification_attachment,activemodel.attributes.id_document_upload.verification_attachment,Scanned copy of your document,Gescannte Kopie Ihres Dokuments,
activemodel.attributes.offline_confirmation.email,activemodel.attributes.offline_confirmation.email,Participant email,E-Mail des Teilnehmers,
activemodel.attributes.postal_letter_address.full_address,activemodel.attributes.postal_letter_address.full_address,Full address,Vollständige Anschrift,
activemodel.attributes.postal_letter_confirmation.verification_code,activemodel.attributes.postal_letter_confirmation.verification_code,Verification code,Prüfcode,
activemodel.attributes.postal_letter_postage.full_address,activemodel.attributes.postal_letter_postage.full_address,Full address,Vollständige Anschrift,
activemodel.attributes.postal_letter_postage.verification_code,activemodel.attributes.postal_letter_postage.verification_code,Verification code,Prüfcode,
decidim.admin.menu.authorization_revocation.before_date_info,decidim.admin.menu.authorization_revocation.before_date_info,Useful if the process has already begun and you want to revoke the permissions of the previous process.,"Nützlich, wenn der Prozess bereits begonnen hat und Sie die Genehmigungen des vorherigen Prozesses widerrufen möchten.",
decidim.admin.menu.authorization_revocation.button,decidim.admin.menu.authorization_revocation.button,Revoke all,Alle widerrufen,
decidim.admin.menu.authorization_revocation.button_before,decidim.admin.menu.authorization_revocation.button_before,Revoke before date,Widerrufen vor dem Datum,
decidim.admin.menu.authorization_revocation.destroy.confirm,decidim.admin.menu.authorization_revocation.destroy.confirm,Revoke before date authorizations can not be undone. Are you sure you want to continue?,"Autorisierungen des Typs Widerrufen vor dem Datum können nicht aufgehoben werden Sind Sie sicher, dass Sie fortfahren möchten?",
decidim.admin.menu.authorization_revocation.destroy.confirm_all,decidim.admin.menu.authorization_revocation.destroy.confirm_all,Revoke all the authorizations can not be undone. Are you sure you want to continue?,"Alle Autorisierungen widerrufen kann nicht rückgängig gemacht werden Sind Sie sicher, dass Sie fortfahren möchten?",
decidim.admin.menu.authorization_revocation.destroy_nok,decidim.admin.menu.authorization_revocation.destroy_nok,There's been a problem while revoking authorizations.,Bei der Aufhebung der Autorisierungen ist ein Problem aufgetreten.,
decidim.admin.menu.authorization_revocation.destroy_ok,decidim.admin.menu.authorization_revocation.destroy_ok,All matched authorizations had been revocated successfully!,Alle übereinstimmenden Autorisierungen wurden erfolgreich widerrufen!,
decidim.admin.menu.authorization_revocation.info,decidim.admin.menu.authorization_revocation.info,There are a total of %{count} verified participants.,Es gibt insgesamt %{count} verifizierte Teilnehmer.,
decidim.admin.menu.authorization_revocation.no_data,decidim.admin.menu.authorization_revocation.no_data,No verified participants,Keine verifizierten Teilnehmer,
decidim.admin.menu.authorization_revocation.title,decidim.admin.menu.authorization_revocation.title,Verifications's revocation,Widerruf der Verifizierungen,
decidim.admin.menu.authorization_workflows,decidim.admin.menu.authorization_workflows,Verifications,Verifizierungen,
decidim.admin_log.organization.update_id_documents_config,decidim.admin_log.organization.update_id_documents_config,%{user_name} updated the Identity Documents verification configuration,%{user_name} hat die Konfiguration der Verifizierung der Ausweisdokumente aktualisiert,
decidim.admin_log.user.grant_id_documents_offline_verification,decidim.admin_log.user.grant_id_documents_offline_verification,%{user_name} verified %{resource_name} using an offline Identity Documents verification,%{user_name} hat %{resource_name} unter Verwendung einer Offline-Verifizierung von Ausweisdokumenten verifiziert,
decidim.authorization_handlers.admin.csv_census.help,decidim.authorization_handlers.admin.csv_census.help,"Admins upload a CSV with the emails of the accepted participants
Only participants with an email in that CSV file can get verified","Administratoren laden eine CSV-Datei mit den E-Mails der akzeptierten Teilnehmer hoch
Nur Teilnehmer mit einer E-Mail in dieser CSV-Datei können verifiziert werden",
decidim.authorization_handlers.admin.id_documents.help,decidim.authorization_handlers.admin.id_documents.help,"Users fill in their identity information and upload a copy of their document.
You fill in the information present in the uploaded image.
The information should match whatever the user filled in.
If you can't clearly see the information or you can't get it verified, you can reject the request and the user will be able to fix it.","Die Benutzer geben ihre Identitätsdaten ein und laden eine Kopie ihres Dokuments hoch.
Sie geben die im hochgeladenen Bild vorhandenen Informationen ein.
Die Informationen sollten mit den Angaben übereinstimmen, die der Benutzer ausgefüllt hat.
Wenn Sie die Informationen nicht klar erkennen oder nicht überprüfen können, können Sie die Anfrage ablehnen und der Benutzer kann sie korrigieren.",
decidim.authorization_handlers.admin.postal_letter.help,decidim.authorization_handlers.admin.postal_letter.help,"Participants request a verification code to be sent to their address.
You send the letter to their address with the verification code.
You mark the letter as sent.
Once you mark the letter as sent, the participant will be able to introduce the code and get verified.","Die Teilnehmer bitten um die Zusendung eines Verifizierungscodes an ihre Adresse.
Sie senden den Brief mit dem Verifizierungscode an ihre Adresse.
Sie markieren den Brief als abgeschickt.
Sobald Sie den Brief als abgeschickt markieren, kann der Teilnehmer den Code eingeben und sich verifizieren lassen.",
decidim.authorization_handlers.csv_census.explanation,decidim.authorization_handlers.csv_census.explanation,Get verified using the organization's census,Lassen Sie sich anhand des Zensus der Organisation verifizieren,
decidim.authorization_handlers.csv_census.name,decidim.authorization_handlers.csv_census.name,Organization's census,Zensus der Organisation,
decidim.authorization_handlers.direct,decidim.authorization_handlers.direct,Direct,Direkt,
decidim.authorization_handlers.help,decidim.authorization_handlers.help,Help,Hilfe,
decidim.authorization_handlers.id_documents.explanation,decidim.authorization_handlers.id_documents.explanation,Upload your identity documents so we can check your identity,"Laden Sie Ihre Ausweisdokumente hoch, damit wir Ihre Identität überprüfen können",
decidim.authorization_handlers.id_documents.name,decidim.authorization_handlers.id_documents.name,Identity documents,Ausweisdokumente,
decidim.authorization_handlers.multistep,decidim.authorization_handlers.multistep,Multi-Step,Mehrstufig,
decidim.authorization_handlers.name,decidim.authorization_handlers.name,Name,Name,
decidim.authorization_handlers.postal_letter.explanation,decidim.authorization_handlers.postal_letter.explanation,We'll send you a postal letter with a code that you'll have to enter so we can verify your address,"Wir senden Ihnen einen Brief mit einem Code, den Sie eingeben müssen, damit wir Ihre Adresse überprüfen können",
decidim.authorization_handlers.postal_letter.name,decidim.authorization_handlers.postal_letter.name,Code by postal letter,Code auf dem Postweg,
decidim.verifications.authorizations.authorization_metadata.info,decidim.verifications.authorizations.authorization_metadata.info,This is the data of the current verification:,Dies sind die Daten der aktuellen Verifizierung:,
decidim.verifications.authorizations.authorization_metadata.no_data_stored,decidim.verifications.authorizations.authorization_metadata.no_data_stored,No data stored.,Keine Daten gespeichert.,
decidim.verifications.authorizations.create.error,decidim.verifications.authorizations.create.error,There was a problem creating the authorization.,Beim Erstellen der Autorisierung ist ein Problem aufgetreten.,
decidim.verifications.authorizations.create.success,decidim.verifications.authorizations.create.success,You've been successfully authorized.,Sie wurden erfolgreich autorisiert.,
decidim.verifications.authorizations.create.unconfirmed,decidim.verifications.authorizations.create.unconfirmed,You need to confirm your email in order to authorize yourself.,"Sie müssen Ihre E-Mail bestätigen, um sich zu autorisieren.",
decidim.verifications.authorizations.destroy.error,decidim.verifications.authorizations.destroy.error,There was a problem deleting the authorization.,Beim Löschen der Autorisierung ist ein Problem aufgetreten.,
decidim.verifications.authorizations.destroy.success,decidim.verifications.authorizations.destroy.success,You've successfully deleted the authorization.,Sie haben die Autorisierung erfolgreich gelöscht.,
decidim.verifications.authorizations.first_login.actions.another_dummy_authorization_handler,decidim.verifications.authorizations.first_login.actions.another_dummy_authorization_handler,Verify against another example of authorization handler,Verifizierung anhand eines weiteren Beispiels für einen Autorisierungs-Handler,
decidim.verifications.authorizations.first_login.actions.csv_census,decidim.verifications.authorizations.first_login.actions.csv_census,Verify against the organization's census,Verifizierung anhand des Zensus der Organisation,
decidim.verifications.authorizations.first_login.actions.dummy_authorization_handler,decidim.verifications.authorizations.first_login.actions.dummy_authorization_handler,Verify against the example authorization handler,Verifizieren anhand des Beispiels des Autorisierungs-Handlers,
decidim.verifications.authorizations.first_login.actions.dummy_authorization_workflow,decidim.verifications.authorizations.first_login.actions.dummy_authorization_workflow,Verify against the example authorization workflow,Verifizieren anhand des Beispiels des Autorisierungs-Arbeitsflusses,
decidim.verifications.authorizations.first_login.actions.id_documents,decidim.verifications.authorizations.first_login.actions.id_documents,Get verified by uploading your identity document,"Lassen Sie sich verifizieren, indem Sie Ihr Ausweisdokument hochladen",
decidim.verifications.authorizations.first_login.actions.postal_letter,decidim.verifications.authorizations.first_login.actions.postal_letter,Get verified by receiving a verification code through postal mail,"Lassen Sie sich verifizieren, indem Sie einen Verifizierungscode per Post erhalten",
decidim.verifications.authorizations.first_login.actions.sms,decidim.verifications.authorizations.first_login.actions.sms,Get verified by receiving a SMS verification code,"Lassen Sie sich verifizieren, indem Sie einen Verifizierungscode per SMS erhalten",
decidim.verifications.authorizations.first_login.title,decidim.verifications.authorizations.first_login.title,Verify your identity,Verifizieren Sie Ihre Identität,
decidim.verifications.authorizations.first_login.verify_with_these_options,decidim.verifications.authorizations.first_login.verify_with_these_options,These are the available options to verify your identity:,Dies sind die verfügbaren Optionen zur Verifizierung Ihrer Identität:,
decidim.verifications.authorizations.index.expired_verification,decidim.verifications.authorizations.index.expired_verification,Verification expired,Verifizierung abgelaufen,
decidim.verifications.authorizations.index.pending_verification,decidim.verifications.authorizations.index.pending_verification,Pending verification,Ausstehende Verifizierung,
decidim.verifications.authorizations.index.show_renew_info,decidim.verifications.authorizations.index.show_renew_info,Click to renew verification,Klicken Sie zum Erneuern der Verifizierung,
decidim.verifications.authorizations.index.unauthorized_verification,decidim.verifications.authorizations.index.unauthorized_verification,New verification,Neue Verifizierung,
decidim.verifications.authorizations.new.authorize,decidim.verifications.authorizations.new.authorize,Send,Absenden,
decidim.verifications.authorizations.new.authorize_with,decidim.verifications.authorizations.new.authorize_with,Verify with %{authorizer},"Verifizieren mit ""%{authorizer}""",
decidim.verifications.authorizations.renew_modal.cancel,decidim.verifications.authorizations.renew_modal.cancel,Cancel,Annullieren,
decidim.verifications.authorizations.renew_modal.close,decidim.verifications.authorizations.renew_modal.close,close,schließen,
decidim.verifications.authorizations.renew_modal.continue,decidim.verifications.authorizations.renew_modal.continue,Continue,Weiter,
decidim.verifications.authorizations.renew_modal.info_renew,decidim.verifications.authorizations.renew_modal.info_renew,"If you want to update the data, continue with the renewal","Wenn Sie die Daten aktualisieren möchten, fahren Sie mit der Erneuerung fort",
decidim.verifications.authorizations.renew_modal.title,decidim.verifications.authorizations.renew_modal.title,Renew Verification,Verifizierung erneuern,
decidim.verifications.authorizations.skip_verification,decidim.verifications.authorizations.skip_verification,You can skip this for now and %{link},Sie können dies vorerst überspringen und %{link},
decidim.verifications.authorizations.start_exploring,decidim.verifications.authorizations.start_exploring,start exploring,mit der Erkundung beginnen,
decidim.verifications.csv_census.admin.census.create.error,decidim.verifications.csv_census.admin.census.create.error,There was an error importing census.,Beim Import des Zensus ist ein Fehler aufgetreten.,
decidim.verifications.csv_census.admin.census.create.success,decidim.verifications.csv_census.admin.census.create.success,Successfully imported %{count} items (%{errors} errors),Erfolgreich importierte %{count} Punkte (%{errors} Fehler),
decidim.verifications.csv_census.admin.census.destroy_all.success,decidim.verifications.csv_census.admin.census.destroy_all.success,All census data have been deleted,Alle Zensusdaten wurden gelöscht,
decidim.verifications.csv_census.admin.destroy.confirm,decidim.verifications.csv_census.admin.destroy.confirm,Delete all the census can not be undone. Are you sure you want to continue?,"Der Befehle „Alle Zensusdaten löschen“ kann nicht rückgängig gemacht werden Sind Sie sicher, dass Sie fortfahren möchten?",
decidim.verifications.csv_census.admin.destroy.title,decidim.verifications.csv_census.admin.destroy.title,Delete all census data,Alle Zensusdaten löschen,
decidim.verifications.csv_census.admin.index.data,decidim.verifications.csv_census.admin.index.data,There are %{count} records loaded in total. Last upload date was on %{due_date},Es sind insgesamt %{count} Einträge hochgeladen. Letztes Hochladungsdatum war am %{due_date},
decidim.verifications.csv_census.admin.index.empty,decidim.verifications.csv_census.admin.index.empty,There are no census data. Use the form below to import it using a CSV file.,"Es gibt keine Zensusdaten. Verwenden Sie das untenstehende Formular, um diese über eine CSV-Datei zu importieren.",
decidim.verifications.csv_census.admin.index.title,decidim.verifications.csv_census.admin.index.title,Current census data,Aktuelle Zensusdaten.,
decidim.verifications.csv_census.admin.instructions.body,decidim.verifications.csv_census.admin.instructions.body,To do this you must enter system administration and add the csv_census authorizations to the organization,Dazu müssen Sie in die Systemadministration gehen und der Organisation die csv_census-Autorisierungen hinzufügen,
decidim.verifications.csv_census.admin.instructions.title,decidim.verifications.csv_census.admin.instructions.title,You need to activate the csv census for this organization,Sie müssen die CSV Zensus für diese Organisation aktivieren,
