activemodel.attributes.constraint.subject_id,Topic,Téma,,
activemodel.attributes.meeting.cofe_charter_html,"I agree to the <a href=""%{url}"" target=""_blank"">charter</a> of the Conference on the Future of Europe","Souhlasím s <a href=""%{url}"" target=""_blank"">chartou</a> konference o budoucnosti Evropy",,
activemodel.models.decidim/meetings/upcoming_meeting_event,Upcoming event,Nadcházející událost,,
activerecord.models.decidim/meetings/meeting.one,Event,Událost,,
activerecord.models.decidim/meetings/meeting.few,Events,Události,,
activerecord.models.decidim/meetings/meeting.other,Events,Události,,
activerecord.models.decidim/participatory_process.one,Topic,Téma,,
activerecord.models.decidim/participatory_process.few,Topics,Témata,,
activerecord.models.decidim/participatory_process.other,Topics,Témata,,
decidim.components.meetings.name,Events,Události,,
decidim.components.meetings.settings.global.cofe_charter_url,COFE charter URL,URL charty konference,,
decidim.meetings.actions.new,New event,Nová událost,,
decidim.meetings.content_blocks.upcoming_events.upcoming_events,Upcoming events,Nadcházející události,,
decidim.meetings.directory.meetings.index.meetings,Events,Události,,
decidim.meetings.meetings.count.meetings_count.one,%{count} event,%{count} událost,,
decidim.meetings.meetings.count.meetings_count.few,%{count} events,%{count} události,,
decidim.meetings.meetings.count.meetings_count.other,%{count} events,%{count} událostí,,
decidim.meetings.meetings.form.create_as,Organise event as,Uspořádat událost jako,,
decidim.meetings.meetings.index.new_meeting,New event,Nová událost,,
decidim.meetings.meetings.new.title,Organise Your Event,Uspořádejte událost,,
decidim.meetings.models.meeting.fields.official_meeting,Official event,Oficiální událost,,
decidim.menu.help,About the Conference,O konferenci,,
decidim.menu.processes,Topics,Témata,,
decidim.menu_overwrite.citizens_panels,Citizens panels,Panelové diskuse občanů,,
decidim.menu_overwrite.events,Events,Události,,
decidim.menu_overwrite.plenaries,Plenaries,Plenární zasedání,,
decidim.menu_overwrite.topics,Topics,Témata,,
decidim.metrics.meetings.object,events,události,,
decidim.metrics.meetings.title,Events,Události,,
decidim.pages.home.extended.meetings,Events,Události,,
decidim.pages.home.statistics.meetings_count,Events,Události,,
decidim.pages.home.statistics.processes_count,Topics,Témata,,
decidim.pages.home.statistics.proposals_count,Ideas,Nápady,,
decidim.pages.index.title,About the Conference,O konferenci,,
decidim.participatory_processes.index.title,Topics,Témata,,
decidim.participatory_processes.last_activity.new_participatory_process,New topic,Nové téma,,
decidim.participatory_processes.pages.home.highlighted_processes.active_processes,Topics,Témata,,
decidim.participatory_processes.pages.home.highlighted_processes.see_all_processes,See all topics,Zobrazit všechna témata,,
decidim.participatory_processes.participatory_process_groups.highlighted_meetings.past_meetings,Past events,Minulé události,,
decidim.participatory_processes.participatory_process_groups.highlighted_meetings.upcoming_meetings,Upcoming events,Nadcházející události,,
decidim.participatory_processes.participatory_processes.filters.counters.active.one,1 active topic,1 aktivní téma,,
decidim.participatory_processes.participatory_processes.filters.counters.active.few,%{count} active topics,%{count} aktivní témata,,
decidim.participatory_processes.participatory_processes.filters.counters.active.other,%{count} active topics,%{count} aktivních témat,,
decidim.participatory_processes.participatory_processes.filters.counters.all.one,1 topic,1 téma,,
decidim.participatory_processes.participatory_processes.filters.counters.all.few,%{count} topics,%{count} témata,,
decidim.participatory_processes.participatory_processes.filters.counters.all.other,%{count} topics,%{count} témat,,
decidim.participatory_processes.participatory_processes.filters.counters.past.one,1 past topic,1 minulé téma,,
decidim.participatory_processes.participatory_processes.filters.counters.past.few,%{count} past topics,%{count} minulá témata,,
decidim.participatory_processes.participatory_processes.filters.counters.past.other,%{count} past topics,%{count} minulých témat,,
decidim.participatory_processes.participatory_processes.filters.counters.upcoming.one,1 upcoming topic,1 nadcházející téma,,
decidim.participatory_processes.participatory_processes.filters.counters.upcoming.few,%{count} upcoming topics,%{count} nadcházející témata,,
decidim.participatory_processes.participatory_processes.filters.counters.upcoming.other,%{count} upcoming topics,%{count} nadcházejících témat,,
decidim.participatory_processes.participatory_processes.filters.explanations.no_active,No active topics,Žádná aktivní témata,,
decidim.participatory_processes.statistics.meetings_count,Events,Události,,
decidim.participatory_processes.statistics.processes_count,Topics,Témata,,
decidim.participatory_processes.statistics.proposals_count,Ideas,Nápady,,
decidim.participatory_spaces.highlighted_meetings.see_all,See all events (%{count}),Zobrazit všechny události (%{count}),,
decidim.participatory_spaces.highlighted_meetings.upcoming_meetings,Upcoming events,Nadcházející události,,
decidim.participatory_spaces.highlighted_proposals.see_all,See all ideas (%{count}),Zobrazit všechny nápady (%{count}),,
decidim.participatory_spaces.upcoming_meeting_for_card.upcoming_meeting,Upcoming event,Nadcházející událost,,
decidim.proposals.last_activity.new_proposal_at_html,<span>New idea at %{link}</span>,<span>Nový nápad na %{link}</span>,,
decidim.proposals.proposals.count.proposals_count.one,%{count} idea,%{count} nápad,,
decidim.proposals.proposals.count.proposals_count.few,%{count} ideas,%{count} nápady,,
decidim.proposals.proposals.count.proposals_count.other,%{count} ideas,%{count} nápadů,,
decidim.proposals.proposals.index.new_proposal,New idea,Nový nápad,,
decidim.proposals.proposals.index.view_proposal,View idea,Zobrazit nápad,,
decidim.proposals.proposals.new.title,Share Your Idea,Sdílejte svůj nápad,,
decidim.proposals.proposals.proposal.view_proposal,View idea,Zobrazit nápad,,
decidim.proposals.proposals.wizard_aside.back_from_step_1,Back to ideas,Zpět na nápady,,
decidim.proposals.proposals.wizard_aside.back_from_step_2,Back to ideas,Zpět na nápady,,
decidim.proposals.proposals.wizard_aside.info,You are sharing an <strong>idea</strong>.,Sdílíte <strong>nápad</strong>.,,
decidim.proposals.proposals.wizard_steps.step_1,Share your idea,Sdílejte svůj nápad,,
decidim.proposals.proposals.wizard_steps.step_4,Publish your idea,Zveřejněte svůj nápad,,
decidim.proposals.proposals.wizard_steps.title,Idea sharing steps,Postup sdílení nápadů,,
decidim.proposals.versions.proposals.back_to_resource,Go back to idea,Zpět na nápad,,
devise.omniauth_callbacks.failure,"Could not authenticate you from EU Login because ""%{reason}"".","Nezdařilo se ověření účtem EU Login z důvodu: ""%{reason}"".",,
devise.omniauth_callbacks.success,Successfully authenticated from EU Login account.,Ověření účtem EU Login proběhlo úspěšně.,,
layouts.decidim.language_chooser.close,Close,Zavřít,,
layouts.decidim.language_chooser.select_your_language,Select your language,Vyberte jazyk,,
