activemodel.attributes.constraint.subject_id,Topic,Tema,,
activemodel.attributes.meeting.cofe_charter_html,"I agree to the <a href=""%{url}"" target=""_blank"">charter</a> of the Conference on the Future of Europe","Pritariu <a href=""%{url}"" target=""_blank"">Konferencijos </a>dėl Europos ateities chartijai",,
activemodel.models.decidim/meetings/upcoming_meeting_event,Upcoming event,Būsimas renginys,,
activerecord.models.decidim/meetings/meeting.one,Event,Renginys,,
activerecord.models.decidim/meetings/meeting.few,Events,Renginiai,,
activerecord.models.decidim/meetings/meeting.other,Events,Renginiai,,
activerecord.models.decidim/participatory_process.one,Topic,Tema,,
activerecord.models.decidim/participatory_process.few,Topics,Temos,,
activerecord.models.decidim/participatory_process.other,Topics,Temos,,
decidim.components.meetings.name,Events,Renginiai,,
decidim.components.meetings.settings.global.cofe_charter_url,COFE charter URL,Konferencijos dėl Europos ateities chartijos URL,,
decidim.meetings.actions.new,New event,Naujas renginys,,
decidim.meetings.content_blocks.upcoming_events.upcoming_events,Upcoming events,Būsimi renginiai,,
decidim.meetings.directory.meetings.index.meetings,Events,Renginiai,,
decidim.meetings.meetings.count.meetings_count.one,%{count} event,%{count} renginys,,
decidim.meetings.meetings.count.meetings_count.few,%{count} events,%{count} renginiai,,
decidim.meetings.meetings.count.meetings_count.other,%{count} events,%{count} renginiai,,
decidim.meetings.meetings.form.create_as,Organise event as,Organizuoti renginį kaip,,
decidim.meetings.meetings.index.new_meeting,New event,Naujas renginys,,
decidim.meetings.meetings.new.title,Organise Your Event,Organizuoti savo renginį,,
decidim.meetings.models.meeting.fields.official_meeting,Official event,Oficialus renginys,,
decidim.menu.help,About the Conference,Apie konferenciją,,
decidim.menu.processes,Topics,Temos,,
decidim.menu_overwrite.citizens_panels,Citizens panels,Piliečių diskusijų grupė,,
decidim.menu_overwrite.events,Events,Renginiai,,
decidim.menu_overwrite.plenaries,Plenaries,Plenariniai posėdžiai,,
decidim.menu_overwrite.topics,Topics,Temos,,
decidim.metrics.meetings.object,events,renginiai,,
decidim.metrics.meetings.title,Events,Renginiai,,
decidim.pages.home.extended.meetings,Events,Renginiai,,
decidim.pages.home.statistics.meetings_count,Events,Renginiai,,
decidim.pages.home.statistics.processes_count,Topics,Temos,,
decidim.pages.home.statistics.proposals_count,Ideas,Idėjos,,
decidim.pages.index.title,About the Conference,Apie konferenciją,,
decidim.participatory_processes.index.title,Topics,Temos,,
decidim.participatory_processes.last_activity.new_participatory_process,New topic,Nauja tema,,
decidim.participatory_processes.pages.home.highlighted_processes.active_processes,Topics,Temos,,
decidim.participatory_processes.pages.home.highlighted_processes.see_all_processes,See all topics,Žiūrėti visas temas,,
decidim.participatory_processes.participatory_process_groups.highlighted_meetings.past_meetings,Past events,Įvykę renginiai,,
decidim.participatory_processes.participatory_process_groups.highlighted_meetings.upcoming_meetings,Upcoming events,Būsimi renginiai,,
decidim.participatory_processes.participatory_processes.filters.counters.active.one,1 active topic,1 aktyvi tema,,
decidim.participatory_processes.participatory_processes.filters.counters.active.few,%{count} active topics,%{count} aktyvios temos,,
